action_type,action_id,condition_type,icon_id,title_id,body_id,quest_type_condition,quest_text
1,0,0,9,1,1,金のタマゴを触った回数,金の卵に{0}回触る
2,0,0,5,3,2,他プレイヤーに妖怪をヒョーイさせた回数,妖怪を他のプレイヤーに{0}回ヒョーイする
3,0,0,5,23,3,とりつきパスをした回数,ヒョーイパスを{0}回おこなう
4,0,0,5,22,4,他プレイヤーにヒョーイされた妖怪とバトルした数,ヒョーイバトルを{0}回おこなう
5,0,0,4,22,5,じもと妖怪とバトルした数,じもと妖怪とバトルを{0}回おこなう
6,0,0,3,22,6,妖怪の木に集まった妖怪にバトルした数,妖怪の木に集まった妖怪とバトルを{0}回おこなう
7,0,0,8,8,7,妖怪の合成強化回数,合成強化で合計{0}体、素材につかう
8,0,0,3,2,8,妖怪の木におそなえした回数,妖怪の木に{0}回おそなえをする
9,0,0,13,4,9,ログイン回数,合計{0}日ログインする
10,0,0,2,5,10,ともだちにした妖怪の種類,{0}種類以上の妖怪と、ともだちになる
11,0,2,2,6,11,xxx(ランク名)ランクの妖怪でともだちにした数,{1}ランクの妖怪と{0}体、ともだちになる
12,0,10,2,5,12,xxx(種族名)族の妖怪でともだちにした数,{1}族の妖怪と{0}体、ともだちになる
13,0,15,2,7,13,ともだちでレベルが一番高い妖怪のレベル,妖怪のレベルを{0}にする
14,0,0,8,8,14,妖怪の合成進化回数,合成進化を{0}回おこなう
15,0,15,2,7,15,ともだちでこうげきのわざレベルが一番高い妖怪のレベル,妖怪のこうげきの技レベルを{0}にする
16,0,15,2,7,16,ともだちでようじゅつのわざレベルが一番高い妖怪のレベル,妖怪のようじゅつの技レベルを{0}にする
17,0,15,2,7,17,ともだちでひっさつわざレベルが一番高い妖怪のレベル,妖怪のひっさつわざの技レベルを{0}にする
18,0,1,14,9,18,プレイヤー階級,プレイヤーの階級を{0}にする
19,0,0,4,22,19,バトルで勝利した数,バトルに{0}回勝利する
20,0,0,6,10,20,ガシャを回した回数,合計{0}回ガシャを回す
21,0,11,6,10,21,xxx(色名)コインガシャを回した回数,{1}を使って{0}ガシャを回す
22,0,0,9,11,22,親友数,親友を{0}人まで増やす
23,0,0,9,11,23,フレンド数,フレンドを{0}人まで増やす
24,0,3,4,22,24,バトルでxxx(妖怪名)に勝利した数,バトルで{1}に{0}回勝利する
25,0,3,2,5,25,xxx(妖怪名)とともだちになった回数,{1}と{0}体以上、ともだちになる
26,0,0,4,13,26,ひっさつわざの使用回数,ひっさつわざを{0}回使う
27,0,0,4,14,27,さすらいだまを壊した回数,さすらいだまを{0}回壊す
28,0,0,4,15,28,バトル中に妖怪にたべものを与えた数,バトル中に妖怪にたべものを{0}回与える
29,0,0,7,15,29,集めた「たべもの」の種類数,たべものを{0}種類以上、集める
30,0,0,7,16,30,集めた「どうぐ」の種類数,どうぐを{0}種類以上、集める
31,0,0,7,16,31,集めた「そうび」の種類数,そうびを{0}種類以上、集める
32,0,0,10,17,32,ヨーカの累計金額,ヨーカを{0}貯める
33,0,3,4,22,33,xxx(妖怪名)とバトルした回数,{1}と{0}回バトルする
34,0,0,3,2,34,妖怪の木を植えた回数,妖怪の木を{0}回、植える
35,0,8,4,15,35,バトル中に妖怪にxxx(食べ物種類名)を与えた数,バトル中に{1}が好きな妖怪に{1}を{0}回与える
36,0,0,15,18,36,レア屋台を訪れた回数,レア屋台に{0}回はいる
37,0,9,16,9,37,称号xxx(称号名)を手に入れる,称号「{1}」を手に入れる
38,0,14,11,9,38,プレイヤーが移動した距離,自分で{0}km移動する
39,0,4,7,15,39,xxx(食べ物名)を入手した個数,{1}を合計{0}個、集める
40,0,5,7,16,39,xxx(道具名)を入手した個数,{1}を合計{0}個、集める
41,0,6,7,16,39,xxx(大事な物名)を入手した個数,{1}を合計{0}個、集める
42,0,11,7,16,39,xxx(コイン)を入手した個数,{1}を合計{0}個、集める
43,0,7,7,16,39,xxx(装備)を入手した個数,{1}を合計{0}個、集める
44,0,0,12,19,40,お土産の集めた種類,おみやげを{0}種類以上、集める
45,0,0,12,19,41,お土産の集めた数,おみやげを合計{0}個、集める
46,0,14,11,9,42,ヒョーイされたままプレイヤーが移動した距離,ヒョーイされたまま自分で{0}km移動する
47,0,0,2,5,43,バトルでともだちになった妖怪の数,バトルで{0}体の妖怪とともだちになる
48,0,12,2,5,44,xxx(地方名)の妖怪とともだちになった数,{1}の妖怪と{0}体ともだちになる
49,0,16,4,22,45,バトルでxxx(妖怪名)に勝利した数 ※降臨ボス,バトルで{1}に{0}回勝利する\n（降臨ボス）
50,0,16,2,5,46,xxx(妖怪名)とともだちになった回数 ※降臨ボス,{1}と{0}体以上ともだちになる\n（降臨ボス）
51,0,16,4,22,47,xxx(妖怪名)とバトルした回数 ※降臨ボス,{1}と{0}回バトルする\n（降臨ボス）
