id,stage,energy,tree
1,1,10,2
2,1,9,3
3,1,8,4
4,1,7,5
5,1,6,6
6,1,5,8
7,1,4,9
8,1,3,12
9,1,2,14
10,1,1,17
11,2,10,5
12,2,9,6
13,2,8,8
14,2,7,10
15,2,6,13
16,2,5,16
17,2,4,20
18,2,3,25
19,2,2,31
20,2,1,38
21,3,10,8
22,3,9,10
23,3,8,14
24,3,7,18
25,3,6,23
26,3,5,28
27,3,4,35
28,3,3,44
29,3,2,54
30,3,1,66
31,4,10,11
32,4,9,15
33,4,8,19
34,4,7,25
35,4,6,32
36,4,5,40
37,4,4,50
38,4,3,62
39,4,2,77
40,4,1,94
41,5,10,23
42,5,9,32
43,5,8,43
44,5,7,56
45,5,6,71
46,5,5,90
47,5,4,112
48,5,3,139
49,5,2,172
50,5,1,210
51,6,10,31
52,6,9,43
53,6,8,57
54,6,7,74
55,6,6,95
56,6,5,120
57,6,4,150
58,6,3,186
59,6,2,229
60,6,1,280
61,7,10,51
62,7,9,71
63,7,8,95
64,7,7,123
65,7,6,158
66,7,5,199
67,7,4,249
68,7,3,309
69,7,2,381
70,7,1,467
71,8,10,51
72,8,9,71
73,8,8,95
74,8,7,123
75,8,6,158
76,8,5,199
77,8,4,249
78,8,3,309
79,8,2,381
80,8,1,467
81,9,10,76
82,9,9,106
83,9,8,142
84,9,7,185
85,9,6,237
86,9,5,299
87,9,4,373
88,9,3,463
89,9,2,571
90,9,1,700
91,10,10,151
92,10,9,211
93,10,8,283
94,10,7,369
95,10,6,473
96,10,5,597
97,10,4,746
98,10,3,926
99,10,2,1140
100,10,1,1398
101,11,10,301
102,11,9,421
103,11,8,565
104,11,7,737
105,11,6,945
106,11,5,1194
107,11,4,1492
108,11,3,1850
109,11,2,2280
110,11,1,2796
