battle_league_npc_deck_id,group_place_order,monster_id,character,skill_type,level,attack_lv,special_attack_lv,magic_lv,accessory_id1,accessory_lv1,accessory_id2,accessory_lv2
1,1,101000,1,0,10,1,1,1,300001,1,0,0
1,2,102000,3,0,12,1,1,1,0,0,0,0
1,3,102010,8,0,14,5,1,10,300007,10,0,0
2,1,103000,1,0,14,5,1,10,300007,10,0,0
2,2,104000,2,0,14,5,1,10,300007,10,0,0
2,3,104010,4,0,14,5,1,10,300007,10,0,0
3,1,105000,1,1,14,5,1,10,300007,10,0,0
3,2,105010,6,1,14,5,1,10,300007,10,0,0
3,3,106000,1,1,14,5,1,10,300007,10,0,0
4,1,107000,1,1,14,5,1,10,300007,10,0,0
4,2,107010,7,1,14,5,1,10,300007,10,0,0
4,3,108000,1,1,14,10,1,10,300007,10,0,0
5,1,109000,2,1,14,10,1,10,300007,10,0,0
5,2,109010,1,1,14,10,1,10,300007,10,0,0
5,3,110000,3,1,14,10,1,10,300007,10,0,0
6,1,111000,1,1,14,10,1,10,300007,10,0,0
6,2,372000,1,2,14,10,1,10,300007,10,0,0
6,3,101000,1,0,10,1,1,1,300001,1,0,0
7,1,102000,3,0,12,1,1,1,0,0,0,0
7,2,102010,8,0,14,5,1,10,300007,10,0,0
7,3,103000,1,0,14,5,1,10,300007,10,0,0
8,1,104000,2,0,14,5,1,10,300007,10,0,0
8,2,104010,4,0,14,5,1,10,300007,10,0,0
8,3,105000,1,1,14,5,1,10,300007,10,0,0
9,1,105010,6,1,14,5,1,10,300007,10,0,0
9,2,106000,1,1,14,5,1,10,300007,10,0,0
9,3,107000,1,1,14,5,1,10,300007,10,0,0
10,1,107010,7,1,14,5,1,10,300007,10,0,0
10,2,108000,1,1,14,10,1,10,300007,10,0,0
10,3,109000,2,1,14,10,1,10,300007,10,0,0
11,1,109010,1,1,14,10,1,10,300007,10,0,0
11,2,110000,3,1,14,10,1,10,300007,10,0,0
11,3,111000,1,1,14,10,1,10,300007,10,0,0
12,1,372000,1,2,14,10,1,10,300007,10,0,0
12,2,101000,1,0,10,1,1,1,300001,1,0,0
12,3,102000,3,0,12,1,1,1,0,0,0,0
13,1,102010,8,0,14,5,1,10,300007,10,0,0
13,2,103000,1,0,14,5,1,10,300007,10,0,0
13,3,104000,2,0,14,5,1,10,300007,10,0,0
14,1,104010,4,0,14,5,1,10,300007,10,0,0
14,2,105000,1,1,14,5,1,10,300007,10,0,0
14,3,105010,6,1,14,5,1,10,300007,10,0,0
15,1,106000,1,1,14,5,1,10,300007,10,0,0
15,2,107000,1,1,14,5,1,10,300007,10,0,0
15,3,107010,7,1,14,5,1,10,300007,10,0,0
16,1,108000,1,1,14,10,1,10,300007,10,0,0
16,2,109000,2,1,14,10,1,10,300007,10,0,0
16,3,109010,1,1,14,10,1,10,300007,10,0,0
17,1,110000,3,1,14,10,1,10,300007,10,0,0
17,2,111000,1,1,14,10,1,10,300007,10,0,0
17,3,372000,1,2,14,10,1,10,300007,10,0,0
18,1,101000,1,0,10,1,1,1,300001,1,0,0
18,2,102000,3,0,12,1,1,1,0,0,0,0
18,3,102010,8,0,14,5,1,10,300007,10,0,0
19,1,103000,1,0,14,5,1,10,300007,10,0,0
19,2,104000,2,0,14,5,1,10,300007,10,0,0
19,3,104010,4,0,14,5,1,10,300007,10,0,0
20,1,105000,1,1,14,5,1,10,300007,10,0,0
20,2,105010,6,1,14,5,1,10,300007,10,0,0
20,3,106000,1,1,14,5,1,10,300007,10,0,0
21,1,107000,1,1,14,5,1,10,300007,10,0,0
21,2,107010,7,1,14,5,1,10,300007,10,0,0
21,3,108000,1,1,14,10,1,10,300007,10,0,0
22,1,109000,2,1,14,10,1,10,300007,10,0,0
