id,name,power,count,element
1,パンチ,30,1,9
2,ぶんなぐる,50,1,9
3,正拳突き,70,1,9
4,けんせいジャブ,0,1,9
5,ワンツーパンチ,25,2,9
6,流星パンチ,24,3,9
7,けり,30,1,9
8,あびせげり,50,1,9
9,地獄げり,70,1,9
10,はたく,30,1,9
11,はりたおす,25,2,9
12,ビンタ３,0,3,9
13,こづく,30,1,9
14,みだれづき,12,3,9
15,疾風づき,8,5,9
16,かみつく,30,1,9
17,くらいつく,50,1,9
18,かみちぎる,70,1,9
19,のしかかる,25,1,9
20,おしつぶす,40,1,9
21,こなごなつぶし,55,1,9
22,ずつき,30,1,9
23,ヘッドバット,50,1,9
24,地球わり,70,1,9
25,あてみ,20,1,9
26,タックル,35,1,9
27,骨くだき,50,1,9
28,NONE,0,1,9
29,しっぽうち,50,1,9
30,めったうち,24,3,9
31,こづく,0,1,9
32,きゅうしょづき,20,1,9
33,風穴あけ,30,1,9
34,おおぶり1,0,1,9
35,フルスイング,40,1,9
36,脳天かちわり,65,1,9
37,しゃげき,30,1,9
38,うちまくり,12,3,9
39,銃で撃つ3,0,3,9
40,ひっかく,0,1,9
41,するどいつめ,15,2,9
42,みだれざき,0,3,9
43,きりつける,30,1,9
44,つばめがえし,25,2,9
45,閃光ぎり,24,3,9
46,たたく,20,1,9
47,ぶったたく,35,1,9
48,ドクロ割り,50,1,9
49,しゅりけん,40,1,9
50,ロケットパンチ,70,1,9
51,つっぱり,50,1,9
52,スプレー発射,40,1,9
53,弓矢,30,1,9
54,大砲発射,40,1,9
55,舌でなめる,50,1,9
56,きりさく,17,3,9
57,投げる,40,1,9
58,投げる,40,1,9
59,カード,35,1,9
60,ショット,50,1,9
61,ショット,50,1,9
62,ショット,50,1,9
63,ショット,50,1,9
64,投げる,50,1,9
65,しゃげき,30,1,9
99,あてみ,9,1,9
