id,attack_id,magic_id,haunt_id,sp_skill_id,advantage_element,weak_element,attack_frequency,magic_frequency,haunt_frequency,defense_frequency,haunt_resist,category,tone_type,frame_type,move_type,sabotage_frequency,favorite_food_kind,unfavorite_food_kind
1000,25,20,1000,1000,3,4,10,45,40,5,40,1,22,1000,2,2,19,12
1800,25,20,1800,1800,3,4,10,45,40,5,40,1,22,1000,2,2,19,12
101000,13,1,101000,101000,1,2,75,10,10,5,50,1,1,1000,1,1,1,2
102000,14,1,102000,102000,1,2,75,10,10,5,70,1,2,1000,1,2,1,2
102010,14,10,102010,102010,4,6,75,10,10,5,75,1,2,1000,1,2,1,2
103000,46,22,103000,103000,3,4,5,30,60,5,50,1,1,1000,1,1,6,10
104000,47,23,104000,104000,3,4,5,30,60,5,70,1,4,1000,1,2,6,10
104010,47,11,104010,104010,4,6,10,20,65,5,70,1,4,1000,1,2,6,10
105000,2,10,105000,105000,4,6,65,10,10,15,60,1,29,1000,1,1,1,4
105010,2,1,105010,105010,1,2,65,10,10,15,60,1,29,1000,1,1,1,4
106000,44,16,106000,106000,6,5,65,10,15,10,50,1,74,1000,1,1,5,10
107000,44,16,107000,107000,6,5,65,10,15,10,70,1,2,1000,2,2,5,10
107010,44,13,107010,107010,5,1,65,10,15,10,75,1,2,1000,2,2,5,10
108000,5,1,108000,108000,1,2,65,15,15,5,70,1,2,1000,1,2,12,11
109000,45,16,109000,109000,6,5,65,15,15,5,85,1,19,1000,1,3,12,11
109010,45,7,109010,109010,3,4,65,15,15,5,90,1,19,1000,1,3,12,11
110000,45,19,110000,110000,2,3,65,15,15,5,85,1,2,1000,2,3,12,11
111000,23,7,111000,111000,3,4,60,10,10,20,60,1,4,1000,2,1,10,6
112000,15,8,112000,112000,3,4,65,10,10,15,85,1,10,1000,1,3,10,6
112010,15,20,112010,112010,1,2,65,10,10,15,90,1,10,1000,1,3,10,6
113000,3,2,113000,113000,1,2,65,20,10,5,70,1,58,1000,1,2,11,3
113010,3,11,113010,113010,4,6,65,10,20,5,75,1,2,1000,1,2,11,3
113020,3,8,113020,113020,3,4,65,15,15,5,85,1,2,1000,1,3,11,3
114000,5,10,114000,114000,4,6,65,5,10,20,75,1,2,1000,1,2,10,4
115000,6,14,115000,115000,5,1,65,5,10,20,85,1,2,1000,1,3,10,4
115010,6,8,115010,115010,3,4,65,5,10,20,90,1,2,1000,1,3,10,4
116000,45,13,116000,116000,5,1,65,10,15,10,70,1,19,1000,2,2,9,1
116010,45,7,116010,116010,3,4,65,10,15,10,75,1,10,1000,2,2,9,1
117000,45,1,117000,117000,1,2,65,15,15,5,85,1,9,1000,1,3,11,5
117010,45,14,117010,117010,5,1,65,15,15,5,90,1,73,1000,1,3,11,5
118000,13,4,118000,118000,2,3,5,65,25,5,50,1,1,1000,1,1,12,7
118010,13,14,118010,118010,5,1,5,65,25,5,60,1,1,1000,1,1,12,7
119000,22,11,119000,119000,4,6,10,65,20,5,70,1,3,1000,2,2,10,11
119010,22,20,119010,119010,3,4,10,65,15,10,75,1,6,1000,2,2,10,11
120000,16,16,120000,120000,6,5,5,30,60,5,50,1,6,1000,2,1,3,10
120010,16,7,120010,120010,3,4,5,30,60,5,50,1,8,1000,2,1,3,10
121000,22,19,121000,121000,4,6,60,10,25,5,60,1,3,1000,2,1,6,1
121010,22,20,121010,121010,4,6,60,10,25,5,70,1,3,1000,2,2,6,1
122000,36,14,122000,122000,5,1,65,10,20,5,75,1,19,1000,1,2,16,6
122010,36,2,122010,122010,1,2,65,10,20,5,85,1,19,1000,1,3,16,6
123000,37,16,123000,123000,6,5,15,60,20,5,60,1,12,1000,2,1,14,1
124000,38,18,124000,124000,6,5,15,60,20,5,85,1,12,1000,2,3,14,1
124010,38,2,124010,124010,1,2,10,65,20,5,85,1,12,1000,2,3,14,1
125000,10,23,125000,125000,5,1,10,65,20,5,60,1,21,1000,1,1,7,2
125010,10,23,125010,125010,2,3,30,60,5,5,70,1,21,1000,1,2,7,2
126000,47,24,126000,126000,5,1,10,65,15,10,75,1,21,1000,1,2,7,2
127000,10,20,127000,127000,3,4,10,65,20,5,60,1,4,1000,1,1,5,12
127010,10,20,127010,127010,1,2,10,65,20,5,70,1,1,1000,1,2,5,12
128000,5,8,128000,128000,3,4,10,65,20,5,60,1,1,1000,1,1,17,15
129000,5,9,129000,129000,3,4,10,65,10,15,85,1,2,1000,1,3,15,17
129010,5,9,129010,129010,3,4,10,65,10,15,90,1,2,1000,1,3,15,17
130000,25,20,130000,130000,3,4,10,60,20,10,70,1,6,1000,1,2,9,7
130010,25,21,130010,130010,3,4,5,65,20,10,85,1,2,1000,1,3,9,7
131000,46,5,131000,131000,2,3,10,65,20,5,70,1,4,1000,2,2,2,12
131010,46,14,131010,131010,5,1,10,65,20,5,70,1,4,1000,2,2,2,12
131020,46,8,131020,131020,3,4,10,65,20,5,75,1,4,1000,2,2,2,12
132000,10,15,132000,132000,5,1,5,65,20,10,75,1,3,1000,1,2,3,9
133000,11,15,133000,133000,5,1,5,65,20,10,90,1,3,1000,2,3,3,9
133010,11,15,133010,133010,5,1,5,65,20,10,90,1,3,1000,2,3,3,9
133800,11,15,133800,133800,5,1,10,65,20,5,90,1,3,1000,2,3,3,9
134000,29,3,134000,134000,1,2,15,65,15,5,90,1,12,1000,2,3,15,10
134010,29,15,134010,134010,5,1,10,65,20,5,90,1,6,1000,2,3,15,10
134020,29,21,134020,134020,6,5,5,55,35,5,80,1,11,1000,2,3,15,10
135000,25,10,135000,135000,4,6,20,10,25,45,50,1,8,1000,1,1,13,14
136000,2,10,136000,136000,4,6,35,10,10,45,75,1,14,1000,1,2,13,14
136010,2,16,136010,136010,6,5,35,10,10,45,75,1,14,1000,1,2,13,14
137000,13,4,137000,137000,2,3,35,5,10,50,45,1,1,1000,2,1,2,12
137010,13,14,137010,137010,5,1,35,5,10,50,55,1,1,1000,1,1,2,12
138000,13,1,138000,138000,1,2,45,40,10,5,50,1,3,1000,2,1,14,16
139000,15,2,139000,139000,1,2,45,40,10,5,70,1,3,1000,2,2,14,16
139010,14,5,139010,139010,2,3,40,45,10,5,75,1,3,1000,2,2,14,16
140000,25,10,140000,140000,4,6,30,10,5,55,50,1,57,1000,1,1,7,6
141000,26,11,141000,141000,4,6,25,10,5,60,75,1,37,1000,1,2,7,6
141010,26,11,141010,141010,4,6,10,25,5,60,85,1,37,1000,1,3,7,6
142000,51,4,142000,142000,2,3,35,5,10,50,60,1,2,1000,1,1,4,12
142010,51,4,142010,142010,2,3,35,5,10,50,70,1,2,1000,1,2,4,12
143000,2,13,143000,143000,5,1,15,10,25,50,60,1,7,1000,1,1,10,6
144000,51,13,144000,144000,5,1,25,5,25,45,70,1,69,1000,1,2,8,5
144010,51,7,144010,144010,3,4,25,5,25,45,75,1,69,1000,1,2,8,5
145000,35,11,145000,145000,4,6,50,10,10,30,75,1,2,1000,1,2,10,4
146000,36,11,146000,146000,4,6,50,10,10,30,85,1,2,1000,1,3,10,4
146010,36,12,146010,146010,4,6,50,10,10,30,90,1,2,1000,1,3,10,4
147000,27,8,147000,147000,3,4,40,10,10,40,85,1,4,1000,2,3,4,3
147010,25,10,147010,147010,4,6,40,10,10,40,70,1,4,1000,2,2,4,3
147020,26,14,147020,147020,5,1,40,10,10,40,75,1,4,1000,2,2,4,3
147030,27,17,147030,147030,6,5,40,10,10,40,90,1,4,1000,2,3,4,3
148000,21,11,148000,148000,4,6,30,10,10,50,85,1,8,1000,1,3,10,11
148010,21,6,148010,148010,2,3,10,30,10,50,90,1,8,1000,1,3,10,11
149000,43,16,149000,149000,6,5,65,15,15,5,50,1,34,1000,1,1,5,2
150000,44,17,150000,150000,6,5,65,15,15,5,70,1,2,1000,1,2,5,2
150010,44,2,150010,150010,1,2,65,10,20,5,75,1,12,1000,1,2,5,2
151000,13,16,151000,151000,6,5,10,60,25,5,45,1,6,1000,2,1,2,7
151010,13,17,151010,151010,6,5,10,60,25,5,60,1,6,1000,2,2,2,7
151020,13,18,151020,151020,6,5,10,60,25,5,75,1,1,1000,2,3,2,7
152000,41,1,152000,152000,1,2,65,10,20,5,60,1,5,1000,1,1,18,10
152900,41,2,152900,152000,1,2,65,10,20,5,90,1,5,1000,1,3,18,10
153000,33,17,153000,153000,6,5,60,15,10,15,75,1,5,1000,1,2,18,10
154000,9,1,154000,154000,1,2,65,10,15,10,75,1,5,1000,1,2,18,10
155000,50,14,155000,155000,5,1,20,5,30,45,85,1,20,1000,1,3,18,10
155010,50,8,155010,155010,3,4,20,5,30,45,90,1,20,1000,1,3,18,10
156000,41,15,156000,156000,5,1,60,10,20,10,85,1,5,1000,1,3,18,10
156010,41,6,156010,156010,2,3,40,45,10,5,85,1,5,1000,1,3,18,10
156020,41,24,156020,156020,0,0,25,55,15,5,85,1,5,1000,1,3,18,10
156030,41,3,156030,156030,1,2,65,10,20,5,85,1,5,1000,1,3,18,10
156040,41,9,156040,156040,3,4,55,5,15,25,85,1,5,1000,1,3,18,10
157000,1,5,157000,157000,2,3,10,65,20,5,60,1,36,1000,1,1,8,6
158000,44,6,158000,158000,2,3,10,65,20,5,85,1,2,1000,1,3,8,6
158010,44,6,158010,158010,2,3,10,65,20,5,85,1,2,1000,1,3,8,6
159000,1,2,159000,159000,1,2,10,65,20,5,60,1,23,1000,1,1,19,5
159010,1,8,159010,159010,3,4,10,65,20,5,60,1,23,1000,1,1,4,5
159400,2,8,159400,159400,3,4,10,65,20,5,70,1,23,1000,1,2,4,5
159900,2,3,159900,159000,1,2,10,65,20,5,90,1,23,1000,1,3,19,5
159910,3,9,159910,159010,3,4,10,65,20,5,90,1,23,1000,1,3,4,5
160000,2,3,160000,160000,1,2,10,65,20,5,85,1,2,1000,1,3,19,5
160020,3,9,160020,160020,3,4,10,65,20,5,85,1,2,1000,1,3,4,5
161000,25,20,161000,161000,0,0,10,40,45,5,40,1,8,1000,2,2,3,1
161010,25,20,161010,161010,0,0,10,40,45,5,50,1,8,1000,2,2,3,1
162000,16,14,162000,162000,5,1,5,65,20,10,50,1,6,1000,1,1,7,5
163000,33,15,163000,163000,5,1,5,65,20,10,85,1,2,1000,1,3,7,5
163010,33,3,163010,163010,1,2,5,65,20,10,90,1,2,1000,1,3,7,5
164000,35,4,164000,164000,2,3,60,10,10,20,60,1,1,1000,1,1,1,2
164010,35,5,164010,164010,2,3,10,35,10,45,70,1,1,1000,1,2,1,2
165000,24,5,165000,165000,2,3,60,10,20,10,75,1,4,1000,1,2,3,11
165010,24,6,165010,165010,2,3,60,10,20,10,85,1,4,1000,1,3,3,11
166000,9,18,166000,166000,6,5,10,70,15,5,90,1,11,1000,1,3,3,10
166010,9,3,166010,166010,1,2,10,65,20,5,90,1,11,1000,1,3,3,10
167000,22,22,167000,167000,4,6,10,60,25,5,50,1,4,1000,1,1,1,2
167010,22,23,167010,167010,4,6,10,65,20,5,75,1,4,1000,1,2,1,2
168000,17,20,168000,168000,4,6,10,65,20,5,75,1,4,1000,1,2,1,2
169000,17,2,169000,169000,1,2,65,10,20,5,45,1,6,1000,1,1,13,10
170000,17,3,170000,170000,1,2,65,10,20,5,70,1,2,1000,1,2,13,10
170010,17,12,170010,170010,4,6,10,65,20,5,75,1,2,1000,1,3,13,10
171000,17,22,171000,171000,4,6,10,40,10,40,35,1,6,1000,1,1,11,12
171010,17,20,171010,171010,5,1,50,25,10,15,40,1,7,1000,1,2,11,12
171020,17,23,171020,171020,3,4,10,35,10,45,40,1,9,1000,1,2,11,12
172000,10,22,172000,172000,2,3,10,60,25,5,60,1,1,1000,2,1,5,2
172010,10,19,172010,172010,3,4,10,60,25,5,60,1,1,1000,2,1,5,2
173000,10,24,173000,173000,6,5,10,60,25,5,85,1,3,1000,2,3,5,2
173010,10,24,173010,173010,3,4,10,60,25,5,90,1,3,1000,2,3,5,2
174000,10,22,174000,174000,2,3,25,55,15,5,50,1,2,1000,1,1,7,12
174010,10,22,174010,174010,5,1,15,55,25,5,50,1,6,1000,1,1,7,12
174020,10,23,174020,174020,3,4,10,60,25,5,60,1,3,1000,1,1,7,12
175000,16,23,175000,175000,2,3,10,65,20,5,70,1,1,1000,2,2,6,1
176000,47,24,176000,176000,2,3,10,65,20,5,75,1,7,1000,1,2,6,1
176010,47,21,176010,176010,2,3,10,65,20,5,85,1,1,1000,1,3,6,1
177000,25,23,177000,177000,3,4,10,60,10,20,70,1,53,1000,2,2,2,7
178000,26,24,178000,178000,3,4,10,60,10,20,85,1,7,1000,2,3,2,7
178010,26,18,178010,178010,6,5,60,10,20,10,85,1,7,1000,2,3,2,7
179000,35,23,179000,179000,6,5,10,60,25,5,70,1,4,1000,2,2,13,5
