id,type,reward_deal_id,rate,start_at,end_at
1,1,2001,1000,1,
2,1,2002,1000,1,
3,1,2003,1000,1,
4,1,2004,1000,1,
5,1,2005,1000,1,
6,1,2006,1000,1,
7,1,2007,1000,1,
8,1,2008,1000,1,
9,1,2009,1000,1,
10,1,2010,1000,1,
11,1,2011,1000,1,
12,1,2012,1000,1,
13,1,2013,1000,1,
14,1,2014,1000,1,
15,1,2015,1000,1,
16,1,2016,1000,1,
17,1,2017,1000,1,
18,1,2018,1000,1,
19,1,2019,1000,1,
20,1,2020,1000,1,
21,1,2021,1000,1,
22,1,2022,1000,1,
23,1,2023,1000,1,
24,1,2024,1000,1,
25,2,2025,1000,1,
26,2,2026,1000,1,
27,2,2027,1000,1,
28,2,2028,1000,1,
29,2,2029,1000,1,
30,2,2030,1000,1,
31,2,2031,1000,1,
32,2,2032,1000,1,
