id,pattern_id,point,reward_deal_id
1,1,5760,4011
2,1,17280,4012
3,1,46080,4013
4,1,184320,4014
5,1,276480,4015
6,1,460800,4016
7,1,645120,4017
8,1,1290240,4018
9,1,1935360,4019
10,1,2580480,4020
11,2,5760,4011
12,2,17280,4012
13,2,46080,4013
14,2,184320,4014
15,2,276480,4015
16,2,460800,4016
17,2,645120,4017
18,2,1290240,4018
19,2,1935360,4019
20,2,2580480,4020
21,3,5760,4011
22,3,17280,4012
23,3,46080,4013
24,3,184320,4014
25,3,276480,4015
26,3,460800,4016
27,3,645120,4017
28,3,1290240,4018
29,3,1935360,4019
30,3,2580480,4020
