id,name,haunt_description,haunt_text,effect_id,command_id
101000,ぶようじんにする,ぶようじんになって　まもりがダウン,うぉーっ！,cu_008,st_eff_0402
102000,がらあきにする,がらあきになって　まもりがダウン,うぉーっ！,cu_008,st_eff_0402
102010,特攻精神,特攻精神で　すばやさがアップ,いくよっ！,cu_014,st_eff_0503
103000,ため息をつかせる,ため息まじりで　ちからが大ダウン,はぁ～…,cu_006,st_eff_0400
104000,ため息をつかせる,ため息まじりで　ちからが大ダウン,はぁ～…,cu_006,st_eff_0400
104010,やる気をなくす,やる気がなくなり　全ステータスがダウン,はぁ～…,cu_010,st_eff_0404
105000,とりもち,モチにひっつき　たまに行動しなくなる,動きにくい…,cu_001,st_eff_0200
105010,焼きもちをやかせる,焼きもちをやいて　味方をたまにこうげきする,うぉーっ！,cu_002,st_eff_0201
106000,ふまじめにする,だらけて　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
107000,だらだらさせる,だらだらして　ちからがダウン,だる～い…,cu_006,st_eff_0400
107010,だらだらさせる,すごくだらだらして　ちからがダウン,だる～い…,cu_006,st_eff_0400
108000,バクチ精神,バクチ精神で　まもりがダウン　,うぉーっ！,cu_008,st_eff_0402
109000,名刀パワー,名刀パワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
110000,妖刀の呪い,妖刀の呪いで　すばやさがダウン,あわわわ…,cu_009,st_eff_0403
109010,神剣パワー,神剣パワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
111000,カブトの守り,カブトの守りで　まもりがアップ,いくよっ！,cu_013,st_eff_0502
112000,ゲンマの呪い,ゲンマの呪いで　ようりょくがダウン,あわわわ…,cu_007,st_eff_0401
112010,黄泉の呪い,黄泉の呪いで　ようりょくがダウン,あわわわ…,cu_007,st_eff_0401
113000,メラメラさせる,熱い心で　ちからがアップ,いくよっ！,cu_011,st_eff_0500
113010,グラグラさせる,心がふるえて　まもりがアップ,バッチコーイ！,cu_013,st_eff_0502
113020,轟かせる,轟くオーラで　すばやさがアップ,いくよっ！,cu_014,st_eff_0503
114000,くわがたパワー,くわがたパワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
115000,大将パワー,大将パワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
115010,神の力,戦いの神の力で　ちからがアップ,いくよっ！,cu_011,st_eff_0500
116000,不器用にさせる,不器用になって　ようりょくがダウン,えーっと…,cu_007,st_eff_0401
116010,からくりパワー,からくりボディーで　まもりがアップ,バッチコーイ！,cu_013,st_eff_0502
117000,むしゃくしゃさせる,むしゃくしゃして　味方をたまにこうげきする,うぉーっ！,cu_002,st_eff_0201
117010,びびらせる,びびって　たまに行動しなくなる,うわっ！,cu_001,st_eff_0200
118000,ズルズルにする,鼻水がかんで　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
118010,かぜをひかせる,かぜをひいて　ちからがダウン,だる～い…,cu_006,st_eff_0400
119000,弱点をさとる,弱点をさとられて　まもりがダウン,げげっ…,cu_008,st_eff_0402
119010,不思議なちから,不思議なパワーで　ようりょくが大ダウン,あわわわ…,cu_007,st_eff_0401
120000,記憶を食べる,だれが味方か忘れて　味方をすぐにこうげきする,うへへへ～,cu_002,st_eff_0201
120010,楽しくさせる,楽しくなって　ようりょくが超アップ,フー！！,cu_012,st_eff_0501
121000,笑わせる,笑いすぎて　たまに行動しなくなる,ギャハハハ,cu_001,st_eff_0200
121010,ふるえさせる,体がふるえて　ようりょくが大ダウン,ぶるぶる…,cu_007,st_eff_0401
122000,武士道精神,武士道パワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
122010,かぶかせる,かぶきパワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
123000,モテモテにする,モテモテになって　ようりょくがアップ,フッ…,cu_012,st_eff_0501
124000,モテモテにする,モテモテになって　ようりょくがアップ,フッ…,cu_012,st_eff_0501
124010,モテなくする,モテなくなって　ようりょくがダウン,うそ～ん,cu_007,st_eff_0401
125000,バクロする,弱点をバクロして　まもりがダウン,げげっ…,cu_008,st_eff_0402
126000,バクロする,弱点をバクロして　まもりがダウン,げげっ…,cu_008,st_eff_0402
125010,ドクロする,ドクロの呪いで　まもりがダウン,あわわわ…,cu_008,st_eff_0402
127000,ねむらせる,ねむくなって　たまに行動しなくなる,Ｚｚｚｚ…,cu_001,st_eff_0200
127010,いい夢みさせる,夢の力で　ＨＰが少しずつ回復,あはははは～,cu_005,st_eff_0304
128000,しびれさせる,ビリビリしびれて　たまに行動しなくなる,ビリビリ～,cu_001,st_eff_0200
129000,しびれさせる,バチバチしびれて　たまに行動しなくなる,ビリビリ～,cu_001,st_eff_0200
129010,感電させる,感電して　ＨＰが少しずつ減っていく,ビリビリ～,cu_004,st_eff_0203
130000,鏡の力,鏡の力で　ようりょくがアップ,よーし！,cu_012,st_eff_0501
130010,闇の鏡の呪い,闇の鏡の呪い　ようりょくがダウン,あわわわ…,cu_007,st_eff_0401
131000,幻の力,幻の力で　ようりょくがアップ,ほんわぁ～,cu_012,st_eff_0501
131010,かげろうの力,かげろうの力で　すばやさがアップ,よーし！,cu_014,st_eff_0503
131020,ほうろうの呪い,ほうろうの呪いで　まもりがダウン,あわわわ…,cu_008,st_eff_0402
132000,かじかませる,寒さでかじかんで　ちからがダウン,ぶるぶる…,cu_006,st_eff_0400
133000,かじかませる,寒さでかじかんで　ちからがダウン,ぶるぶる…,cu_006,st_eff_0400
133010,闇の呪い,闇の呪いで　ようりょくがダウン,あわわわ…,cu_007,st_eff_0401
134000,やけどさせる,やけどして　ＨＰが少しずつ減っていく,あつっ！,cu_004,st_eff_0203
134010,犬神の加護,犬神の加護で　ようりょくがアップ,ほんわぁ～,cu_012,st_eff_0501
134020,漆黒の闇,漆黒の闇で　ＨＰがだんだん減っていく,あわわわ…,cu_004,st_eff_0203
135000,だるくさせる,だるくなって　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
136000,マッチョにする,マッチョになって　ちからがアップ,バッチコーイ！,cu_011,st_eff_0500
136010,筋肉バカにする,筋肉バカになって　味方をたまにこうげきする,フー！！,cu_002,st_eff_0201
137000,のどをイガイガにする,のどがイガイガして　ＨＰが少しずつ減っていく,いたたた…,cu_004,st_eff_0203
137010,頭痛にする,頭痛がして　ＨＰが少しずつ減っていく,もうダメ…,cu_004,st_eff_0203
138000,ファッション命にする,ファッション重視になり　まもりがダウン,フー！！,cu_008,st_eff_0402
139000,気どらせる,気どって　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
139010,気どらせる,気どって　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
140000,きょひさせる,なんでもムリと言って　たまに行動しなくなる,ムーリー,cu_001,st_eff_0200
141000,きょひさせる,なんでもムリと言って　たまに行動しなくなる,ムーリー,cu_001,st_eff_0200
141010,お城の力,お城の力で　まもりがアップ,いい感じ～,cu_013,st_eff_0502
142000,とおせんぼうする,とおせんぼうされて　たまに行動しなくなる,いたたた…,cu_001,st_eff_0200
142010,太い針を刺す,太い針が刺さって　ＨＰが少しずつ減っていく,いたたた…,cu_004,st_eff_0203
143000,ヨロイの守り,ヨロイの守りで　まもりがアップ,ほんわぁ～,cu_013,st_eff_0502
144000,ねばり強くする,どひょうぎわのねばりで　まもりが大アップ,バッチコーイ！,cu_013,st_eff_0502
144010,火山のめぐみ,火山のめぐみで　ＨＰがだんだん回復,ほんわぁ～,cu_005,st_eff_0304
145000,かぶとパワー,かぶとパワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
146000,無双パワー,無双パワーで　ちからがアップ,いくよっ！,cu_011,st_eff_0500
146010,神の力,戦いの神の力で　まもりがアップ,いくよっ！,cu_013,st_eff_0502
147010,銅の力,銅の力で　まもりがアップ,キター！,cu_013,st_eff_0502
147020,銀の力,銀の力で　まもりがアップ,キター！,cu_013,st_eff_0502
147000,金の力,金の力で　まもりがアップ,キター！,cu_013,st_eff_0502
147030,プラチナの力,プラチナの力で　全ステータスが小アップ,キター！,cu_015,st_eff_0504
148000,大地のいやし,大地のいやしで　ＨＰが少しずつ回復,ほんわぁ～,cu_005,st_eff_0304
148010,海の力,海の力で　全ステータスが小アップ,ほんわぁ～,cu_015,st_eff_0504
149000,セミ流忍術,セミ流忍術で　すばやさがアップ,よーし！,cu_014,st_eff_0503
150000,セミ流忍術,セミ流忍術で　すばやさがアップ,よーし！,cu_014,st_eff_0503
150010,セミ流忍術・亜流,セミ流忍術・亜流で　すばやさが大アップ,よーし！,cu_014,st_eff_0503
151000,落ち込ませる,落ちこんで　なかなか行動しなくなる,はぁ～…,cu_001,st_eff_0200
151010,ぶかっこうにする,ぶかっこうになって　まもりが大ダウン,あわわわ,cu_008,st_eff_0402
151020,絶望させる,絶望して　なかなか行動しなくなる,はぁ～…,cu_001,st_eff_0200
152000,しびれるお札,しびれるお札で　たまに行動しなくなる,ビリビリ～,cu_001,st_eff_0200
152900,しびれるお札Ｓ,Ｓ級にしびれるお札で　たまに行動しなくなる,ビリビリ～,cu_001,st_eff_0200
153000,針を刺す,針が刺さって　ＨＰが少しずつ減っていく,いたたた…,cu_004,st_eff_0203
154000,グレさせる,グレて　味方をたまにこうげきする,ケッ！,cu_002,st_eff_0201
155000,鋼鉄パワー,鋼鉄パワーで　まもりがアップ,キター！,cu_013,st_eff_0502
155010,黄金パワー,黄金パワーで　まもりが大アップ,キター！,cu_013,st_eff_0502
156000,ダイヤパワー,ダイヤのかがやきで　全ステータスがアップ,いい感じ～,cu_015,st_eff_0504
156010,サファイアパワー,サファイアのかがやきで　全ステータスがアップ,いい感じ～,cu_015,st_eff_0504
156020,エメラルパワー,エメラルドのかがやきで　全ステータスがアップ,いい感じ～,cu_015,st_eff_0504
156030,ルビーパワー,ルビーのかがやきで　全ステータスがアップ,いい感じ～,cu_015,st_eff_0504
156040,トパーズパワー,トパーズのかがやきで　全ステータスがアップ,いい感じ～,cu_015,st_eff_0504
157000,昼寝させる,昼寝がしたくなり　たまに行動しなくなる,だる～い…,cu_001,st_eff_0200
158000,げきりゅうパワー,げきりゅうパワーで　ようりょくがアップ,よーし！,cu_012,st_eff_0501
158010,なみのりパワー,なみのりパワーで　すばやさがアップ,よーし！,cu_014,st_eff_0503
159000,やけどさせる,やけどして　ＨＰが少しずつ減っていく,あつっ！,cu_004,st_eff_0203
160000,やけどさせる,やけどして　ＨＰが少しずつ減っていく,あつっ！,cu_004,st_eff_0203
159010,とらとらパワー,とらとらパワーで　すばやさがアップ,いくよっ！,cu_014,st_eff_0503
159900,やけどさせるＳ,やけどして　ＨＰがだんだん減っていく,あつっ！,cu_004,st_eff_0203
159910,とらとらパワーＳ,Ｓ級のとらとらパワーで　すばやさが大アップ,いくよっ！,cu_014,st_eff_0503
160020,とらとらパワー,とらとらパワーで　すばやさがアップ,いくよっ！,cu_014,st_eff_0503
161000,おおらかにする,おおらかな心で　全ステータスがアップ,ほんわぁ～,cu_015,st_eff_0504
161010,しどろもどろにする,しどろもどろになって　全ステータスがダウン,あわわわ…,cu_010,st_eff_0404
162000,寒がらせる,ぶるぶるふるえて　ちからがダウン,ぶるぶる…,cu_006,st_eff_0400
163000,こごえさせる,体がこごえて　すばやさがダウン,ぶるぶる…,cu_009,st_eff_0403
163010,心を燃やす,燃える心で　ちからがアップ,いくよっ！,cu_011,st_eff_0500
164000,もじもじさせる,おしっこがもれそうで　たまに行動しなくなる,ぶるぶる…,cu_001,st_eff_0200
164010,プルプルさせる,おしっこがもれそうで　たまに行動しなくなる,ぶるぶる…,cu_001,st_eff_0200
165000,入道の加護,入道の加護で　ＨＰが少しずつ回復,ほんわぁ～,cu_005,st_eff_0304
165010,大明神の加護,大明神の加護で　ＨＰが少しずつ回復,キター！,cu_005,st_eff_0304
166000,天狗の追い風,追い風が吹いて　すばやさがアップ,キター！,cu_014,st_eff_0503
166010,やけどさせる,やけどして　ＨＰが少しずつ減っていく,あつっ！,cu_004,st_eff_0203
167000,おなかをすかせる,おなかがすいて　ちからがダウン,おなかすいたぁ～,cu_006,st_eff_0400
168000,おなかをすかせる,おなかがすいて　ちからがダウン,おなかすいたぁ～,cu_006,st_eff_0400
167010,お米のやさしさ,お米のやさしさで　ＨＰがだんだん回復,ほんわぁ～,cu_005,st_eff_0304
169000,混乱させる,混乱して　味方をたまにこうげきする,うわっ！,cu_002,st_eff_0201
170000,混乱させる,混乱して　味方をたまにこうげきする,うわっ！,cu_002,st_eff_0201
170010,三途の呪い,三途の呪いで　ようりょくがダウン,あわわわ…,cu_007,st_eff_0401
171000,楽しくさせる,楽しくなって　ちからがアップ,ギャハハハ,cu_011,st_eff_0500
171010,歌の力,歌の力で　ようりょくがアップ,いい感じ～,cu_012,st_eff_0501
171020,大蛇の力,大蛇の力で　すばやさがアップ,いい感じ～,cu_014,st_eff_0503
172000,絶好調にする,絶好調になって　全ステータスがアップ,キター！,cu_015,st_eff_0504
172010,絶交させる,絶交して　味方をたまにこうげきする,くそっ！,cu_002,st_eff_0201
173000,最高潮にする,最高潮になって　全ステータスがアップ,キター！,cu_015,st_eff_0504
173010,極楽気分にする,極楽気分で　ＨＰがだんだん回復,あはははは～,cu_005,st_eff_0304
174000,ワカメの健康パワー,ワカメの健康パワーで　ちからが大アップ,ほんわぁ～,cu_011,st_eff_0500
174010,コンブの活力エキス,コンブ活力エキスで　まもりが大アップ,よーし！,cu_013,st_eff_0502
174020,メカブのねばねば効果,メカブのねばねば効果で　すばやさが大アップ,よーし！,cu_014,st_eff_0503
175000,キュンキュンさせる,心がキュンキュンして　ＨＰがだんだん回復,ほんわぁ～,cu_005,st_eff_0304
176000,キュンキュンさせる,心がキュンキュンして　ＨＰがだんだん回復,ほんわぁ～,cu_005,st_eff_0304
176010,腹黒くする,腹黒くなって　味方をたまにこうげきする,くそっ！,cu_002,st_eff_0201
177000,ほのぼのさせる,ほのぼのして　ＨＰが少しずつ回復,ほんわぁ～,cu_005,st_eff_0304
178000,不安定にする,気持ちが不安定になって　味方をたまにこうげきする,はぁ～…,cu_002,st_eff_0201
178010,不安定にする,気持ちが不安定になって　味方をたまにこうげきする,はぁ～…,cu_002,st_eff_0201
179000,気前をよくする,プレゼントを配りはじめて　たまに行動しなくなる,うへへへ～,cu_001,st_eff_0200
179010,気前をよくする,プレゼントを配りはじめて　たまに行動しなくなる,うへへへ～,cu_001,st_eff_0200
180000,オカンのぬくもり,オカンのぬくもりで　ＨＰが少しずつ回復,ほんわぁ～,cu_005,st_eff_0304
