id,name,caption,unlock_type,unlock_data,unlock_area_count,unlock_pref_count,cond_type,cond_data,cond_area_count,cond_pref_count,label
1,1,無敵のトラベラー,日本全国全てを旅しよう！,2,"",1,0,1,"",0,0
2,1,かけだしの旅人,広大な世界への第一歩だ,0,"",0,0,1,"",1,0
3,1,北海道の人気者,北海道をたくさん旅しよう！,2,"[1]",1,0,2,"[1]",19,0
4,1,青森の人気者,青森をたくさん旅しよう！,2,"[2]",1,0,2,"[2]",10,0
5,1,岩手の人気者,岩手をたくさん旅しよう！,2,"[3]",1,0,2,"[3]",8,0
6,1,宮城の人気者,宮城をたくさん旅しよう！,2,"[4]",1,0,2,"[4]",10,0
7,1,秋田の人気者,秋田をたくさん旅しよう！,2,"[5]",1,0,2,"[5]",6,0
8,1,山形の人気者,山形をたくさん旅しよう！,2,"[6]",1,0,2,"[6]",9,0
9,1,福島の人気者,福島をたくさん旅しよう！,2,"[7]",1,0,2,"[7]",15,0
10,1,茨城の人気者,茨城をたくさん旅しよう！,2,"[8]",1,0,2,"[8]",11,0
11,1,栃木の人気者,栃木をたくさん旅しよう！,2,"[9]",1,0,2,"[9]",6,0
12,1,群馬の人気者,群馬をたくさん旅しよう！,2,"[10]",1,0,2,"[10]",9,0
13,1,埼玉の人気者,埼玉をたくさん旅しよう！,2,"[11]",1,0,2,"[11]",18,0
14,1,千葉の人気者,千葉をたくさん旅しよう！,2,"[12]",1,0,2,"[12]",15,0
15,1,東京の人気者,東京をたくさん旅しよう！,2,"[13]",1,0,2,"[13]",16,0
16,1,神奈川の人気者,神奈川をたくさん旅しよう！,2,"[14]",1,0,2,"[14]",15,0
17,1,新潟の人気者,新潟をたくさん旅しよう！,2,"[15]",1,0,2,"[15]",9,0
18,1,富山の人気者,富山をたくさん旅しよう！,2,"[16]",1,0,2,"[16]",4,0
19,1,石川の人気者,石川をたくさん旅しよう！,2,"[17]",1,0,2,"[17]",5,0
