id,schedule_id,map_event_time_ids,day_of_weeks,is_search,is_tree,name,icon_id
1,50001,"1","",1,0,ドキドキ妖怪きもだめし,120
2,50002,"","",1,1,怪魔5人衆,0
3,50003,"1","",1,0,秋到来！お月見妖怪を捕まえろ！？,120
4,50004,"","",1,0,秋の妖怪大出現,120
5,50005,"","",0,1,ハロウィン封印妖怪,0
6,50006,"","",1,0,ハロウィン妖怪大出現１,120
7,50007,"3","",1,0,ハロウィン妖怪大出現２8頭身ハロウィス,120
8,50008,"4","",1,0,ハロウィン妖怪大出現３ウィスババ,120
9,50009,"","",1,0,みんなでヒョーイ大作戦（全マップ配置）,120
10,50010,"","",0,1,みんなでヒョーイ大作戦①（11/5-11/12）,120
11,50011,"","",0,1,みんなでヒョーイ大作戦②（11/12-11/19）,120
12,50012,"","",0,1,みんなでヒョーイ大作戦③（11/19-11/26）,120
13,50013,"","",0,1,みんなでヒョーイ大作戦④（11/26-12/3）,120
14,50014,"","",1,0,クリスマスパーティーに招待しよう！,512
15,50015,"","",0,1,クリスマスそうびをGETしよう！,0
16,50016,"","",1,0,紅白USAピョンを解き放て！,501
17,50017,"5","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
18,50019,"6","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
19,50017,"6","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
20,50020,"5","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
21,50018,"5","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
22,50020,"6","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
23,50018,"6","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
24,50021,"5","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
25,50019,"5","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
26,50021,"6","",1,1,【マップ配置】怪魔五人衆強襲！守れみんなのお正月！,501
27,50022,"","",1,0,【マップ配置】ジバニャンの温泉妖怪,120
28,50023,"","",1,0,【マップ配置】チョコっときになるバレンタイン①,120
29,50024,"","",1,0,【マップ配置】チョコっときになるバレンタイン②,120
30,50025,"","",1,0,【マップ配置】チョコっときになるバレンタイン③,120
31,50026,"","",1,0,【マップ配置】ホワイトデーイベント おかえしは１をたして100になる！,513
