id,body
1000,おやすみでうぃす～
1001,サイコーでうぃす！
1002,なんといいますか…
1003,オウェ…
1800,休みまうぃす…
1801,ウマうぃす～！
1802,なるほどでうぃす…
1803,ゲボボボ…
101000,よっこいしょ…
101001,これ最高！
101002,ふーん…
101003,うーん…
101600,よっこいしょ…
101601,だましんぼうのすき
101602,だましんぼうのノーマル
101603,だましんぼうのきらい
102000,ふ～
102001,やっぱこれだな！
102002,もぐもぐ
102003,なんでい　こりゃあ
102010,ヤレヤレだぜ…
102011,しみわたるぜ！
102012,よくあるやつだぜぃ
102013,今のはもういらんな
103000,ハァ～ア…
103001,おいしいな～
103002,まあまあかな～
103003,ま…　まず…
104000,もうやめたい～
104001,忘れられない味じゃ
104002,どんな味じゃったかの
104003,…っ！？　まずっ！
104010,今はせん！
104011,うめーっ！
104012,もぐもぐ…
104013,もういらん！
105000,つかれたモチ…
105001,やっぱこれだな！
105002,ふむふむ
105003,べしゃべしゃ…
105010,しんどいモチ…
105011,みなぎってきたあ！！
105012,イケるな
105013,いらねー！
105600,つかれたモチ…
105601,くされモチのすき
105602,くされモチのノーマル
105603,くされモチのきらい
106000,だるか～…
106001,うまか～！
106002,ごっくん！　…うん
106003,まずかね～…
107000,面倒くさぁい
107001,これはっ！
107002,そこそこだな…
107003,やめてくれんか…
107010,ふぅぅ…
107011,いいね～
107012,すまないのう
107013,もういらんッ！
108000,ヤレヤレ…
108001,この味を待っとった！
108002,ありがたく頂戴する
108003,口に合わぬな…
109000,きゅうけいじゃ
109001,ウン！　これじゃあ！
109002,味は悪くないのう
109003,不味い！
109010,フッ…
109011,美味なり！
109012,よくある味付けじゃ
109013,やめんかッ！
109600,きゅうけいじゃ
109601,なまくらのすき
109602,なまくらのノーマル
109603,なまくらのきらい
110000,こっそり休むか…
110001,フフフ…
110002,悪くはないな…
110003,ぐぐ…
111000,頭がむれるわい
111001,うまいぞ！
111002,まあまあじゃ
111003,まずいっ！
112000,休息も必要じゃな
112001,やっぱこれじゃの！
112002,もぐもぐ
112003,これはだめだな…
112010,一時撤退じゃ！
112011,これは絶品！
112012,現世の物も悪くない…
112013,まずい！
113000,メラメラ～…
113001,メラメラ！
113002,メラメラ
113003,メラメラ…
113010,いきぬきダ！
113011,肉ッ！　肉ッ！！
113012,まずくねえゾ
113013,やめろヨ…
113020,やすむゾ！
113021,わかってやがるゼ！
113022,アリな味だナ
113023,気持ち悪くなったゾ…
113600,やすむぜっ！
113601,うまい！
113602,普通！
113603,まずい！
114000,う～む…
114001,これだよ　これ！
114002,なかなかじゃねえか
114003,気にクワない！
114600,う～む…
114601,クロノブシのすき
114602,クロノブシのノーマル
114603,クロノブシのきらい
115000,ぷはぁ～…
115001,これはうまい！
115002,ふーむ…
115003,むむ…
115010,どっこいしょっと
115011,大満足だぜ！
115012,まあまあだな
115013,まずい！
116000,よっと…
116001,うまい！　うまいぞ！
116002,かたじけない
116003,今の味はひどいぞ！？
116010,よいしょっと
116011,これは　うまいな！
116012,まあまあじゃのう…
116013,まずすぎるわ！
117000,くっそぉ～
117001,うめぇ～！
117002,ほぉ…
117003,まじーっ！
117010,悪い子はいねが～？
117011,うんめぇ～！
117012,まあまあだなぁー
117013,ぺっ！　まずっ！
117600,くっそぉ～
117601,無茶むしゃのすき
117602,無茶むしゃのノーマル
117603,無茶むしゃのきらい
118000,ズズズーッ…
118001,うん！　いい味！
118002,ずるずるずる
118003,今の苦手～～！
118010,風邪かも…？
118011,フ～！　おいしかった
118012,ぽりぽりぽり
118013,これまずいカモ…
119000,ふむふむ
119001,おいしいのねー
119002,あらまぁ
119003,う…　なにコレ…
119010,むーん…
119011,いいお味ね
119012,うふふ
119013,うう…　いや～な味
119610,むーん…
119611,もぐりちゃんのすき
119612,もぐりちゃんのノーマル
119613,もぐりちゃんのきらい
120000,ふがぁぁぁ
120001,忘れられない味だね！
120002,まずくはないね
120003,…っ！？　まずっ！
120010,ふがふが…
120011,へへへ～
120012,もぐもぐ…　ゴクン
120013,ウエエッ！
121000,笑えないわ…
121001,ひゃひゃひゃ！
121002,なんてことないわね
121003,うえ～　ペッ！
121010,はぁ…
121011,だいすき！　チュ～！
121012,ひぇっひぇっ
121013,うぐぬぬぬ…
122000,ふぃ～
122001,くーっ！！これだぜ！
122002,むしゃむしゃ
122003,なんじゃあ今のは！
122010,イヨォ～…！
122011,これが食べたかった！
122012,恩にきる
122013,オイラ今の嫌いだ！
122600,ふぃ～
122601,じゃまとのすき
122602,じゃまとのノーマル
122603,じゃまとのきらい
123000,ふ～
123001,モテる味じゃん！
123002,よくある味じゃん
123003,ヤダよこれ
123600,ふ～
123601,パチモ天のすき
123602,パチモ天のノーマル
123603,パチモ天のきらい
124000,クールに休むぜ！
124001,チョイスがクール！
124002,オー　ソーソーだね
124003,オー　バッド…
124010,モテたい…
124011,おいしいですね！
124012,うん
124013,モテない味だね…
125000,ババーン…
125001,ババーン！
125002,ババーン
125003,ババーン…
125010,ババーン…
125011,ババーン！
125012,ババーン
125013,ババーン…
125600,ババーン…
125601,パクロ婆のすき
125602,パクロ婆のノーマル
125603,パクロ婆のきらい
126000,ババーン…
126001,ババーン！
126002,ババーン
126003,ババーン…
127000,むにゃむにゃ…
127001,バクバクバクッ！
127002,どうも
127003,ゲボォォ…
127010,ぐーぐー…
127011,ふぅ　おいしい！
127012,ぱくぱくぱく
127013,ゲロ…
128000,充電したい～
128001,いやっほーい！
128002,ありがと
128003,なに今の…
129000,で　電力が…
129001,バリバリ食べれちゃう
129002,ばりばり　ごっくん
129003,お菓子はいらないよぉ
129010,エネルギー不足…
129011,またちょうだい！
129012,またくれてもいいぜ！
129013,もういらないかな…
130000,ぺろーん…
130001,これはよいぞ！
130002,あるねこういうの
130003,いい加減にしてよ
130010,ぐでーん…
130011,舌の上でとろける～！
130012,悪いね
130013,こりゃひでぇな…
131000,もう年かのぅ
131001,ほ～う！　これはいい
131002,まあまあじゃの
131003,これは…
131010,気がめいる…
131011,これじゃよ　これ！
131012,これも　悪くない…
131013,残していいかのぉ…
131020,旅にでもでるか…
131021,ほっほう！　なんと！
131022,ふむ　ありがたい
131023,もう勘弁しとくれ…
131600,もう年かのぅ
131601,ペテン老師のすき
131602,ペテン老師のノーマル
131603,ペテン老師のきらい
132000,ふぅ～
132001,ふふっ　おいしいわ
132002,どうもありがと
132003,うーん…
132600,ふぅ～
132601,がきおんなのすき
132602,がきおんなのノーマル
132603,がきおんなのきらい
133000,夏バテだわ…
133001,今のよかったわ
133002,ありがとう
133003,これはいらないわ
133010,あとは任せたわ～
133011,今のだいすきなの
133012,ふふっ　ありがたいわ
133013,地獄におとすわよ
134000,バカバカしい…
134001,フフ…　ありがとう
134002,悪くはないかな
134003,う～ん　びみょうだね
134010,くだらないね…
134011,おいしいね
134012,まあまあだね
134013,まずいね
134020,つまらん
134021,深～い絶望の味だね
134022,なるほど…興味深い
134023,邪魔だ…消えろ
135000,だる…
135001,うめ～
135002,まあまあ～
135003,食べるのもだりぃ
136000,筋肉痛ー！
136001,うめえじゃねえか！
136002,腹の足しにはなる！
136003,これは違うぞ！
136010,めんどくさぁ
136011,ウッホー！！
136012,ウホ～
136013,ウッホ…
137000,ゲホッ　ゲホッ
137001,うまいうまい
137002,なかなかじゃん！
137003,まず～い
137010,やるきでねぇ
137011,いいね！
137012,まあ食べれるよ
137013,これは違うかな…
138000,はぁ～あ～
138001,これ流行るわ！
138002,悪くはないわね
138003,違うわね…
138600,はぁ～あ～
138601,どろこ婦人のすき
138602,どろこ婦人のノーマル
138603,どろこ婦人のきらい
139000,お洋服が汚れちゃう
139001,これマイブームなの！
139002,普通っていうか
139003,今のはないワ…
139010,紅茶をいただくわ
139011,マジヤバ！
139012,まー　こんなもんね
139013,ゲロマズッ！
140000,ムーリー！
140001,うまい！
140002,そこそこ！
140003,ムリ！
141000,キョヒ！
141001,うまい！
141002,食える！
141003,気持ち悪い…
141010,飽きたのぉ～…
141011,キター！
141012,なかなかうまいぞ
141013,違うな～
142000,へぇ～え！　っと…
142001,うまいじゃねえか！
142002,ぱくぱくぱく…
142003,ともぐいじゃねえか！
142010,体が重い…
142011,うめえぞ～
142012,腹の足しにはなるな
142013,ともぐいじゃねえか！
143000,前はどっちだ？
143001,これ探してたんだよ！
143002,これも悪くないな
143003,違うな～
144000,息抜きするでゴワス
144001,ごっちゃんです！！
144002,かたじけない！
144003,まずいでごわす…
144010,ダメでゴワス
144011,どっかーん！！
144012,そこそこじゃな
144013,これは食えんぞ！
145000,つかれちまった…
145001,むしゃ…　これは！
145002,むっしゃむっしゃ
145003,…っ！　ぐはぁ！
145600,つかれちまった…
145601,くろかぶとのすき
145602,くろかぶとのノーマル
145603,くろかぶとのきらい
146000,ムムム…
146001,これが一番じゃな
146002,いただいたでござる
146003,これはくさすぎる…
146010,ふむ…
146011,至福の時！
146012,悪くない味だったぞ
146013,もう近づけんでくれ…
147000,ポカーン…
147001,うまさ金賞じゃ～！
147002,一番ではないのう
147003,これはないのぉ…
147010,ポカーン…
147011,ふ～む　美味…
147012,十分じゃの…
147013,まずいのぉ
147020,やーめた
147021,いい味わいじゃ！
147022,なかなかじゃの！
147023,ふ～む…
147030,休むぞ！
147031,プラチナ級じゃ！
147032,ゴールド級かの
147033,ブロンズ以下！
147600,ポカーン…
147601,シッカクのすき
147602,シッカクのノーマル
147603,シッカクのきらい
148000,ぬぼぉぉぉぉ
148001,うまい！
148002,ふむふむ
148003,だめじゃ！
148010,うぼぉぉぉぉ
148011,うまい！
148012,ふむふむ
148013,だめじゃ！
149000,きゅうけいミーン…
149001,しみわたるミーン！
149002,まあまあだミン
149003,違うミン！
149600,きゅうけいミーン…
149601,デマまるのすき
149602,デマまるのノーマル
149603,デマまるのきらい
150000,やすむミーン…
150001,せっしゃ　幸せミーン
150002,ありがたく頂くミン
150003,嬉しくないミン
150010,やすもうカナ…
150011,うるおうミン！
150012,悪くないミン
150013,やめてほしいミン
151000,トホホ…
151001,トホホ…！うまい！
151002,ありがと～
151003,トホホ…
151010,ださい…
151011,うますぎるよ～
151012,うん　悪くないね
151013,熱…
151020,はぁ　負けてしまう…
151021,きみ　いいじゃん…
151022,まあまあかな…
151023,地獄いきかな…
151600,はぁ　負けてしまう…
151601,ワルスギスのすき
151602,ワルスギスのノーマル
151603,ワルスギスのきらい
152000,だるいニャ～ン…
152001,チョコボーニャン！
152002,よくある味ニャン
152003,ニャ～！　やめれ～！
152600,ゴロゴロ　フニャーン
152601,黒ニャンのすき
152602,黒ニャンのノーマル
152603,黒ニャンのきらい
152900,やる気しないニャン
152901,最高ニャン！
152902,普通ニャン
152903,まずいニャン…
153000,クタクタニャン…
153001,だいすきニャ～ン！！
153002,悪くないニャ～ン
153003,いらないニャン！
154000,文句あるニャン！？
154001,う　うまいニャン
154002,食べれなくないニャン
154003,ふざけんニャ～！
155000,充電させてくれ…
155001,すばらしい！
155002,悪くない味だ！
155003,ボロイ味だ…
155010,不調だな…
155011,これはいいものだ
155012,かがやきが足りん
155013,これはひどい…
156000,ニャ～ン…
156001,う　うまいニャン
156002,よくある味ニャン
156003,いらないニャン！
156010,ゴロゴロ…
156011,う　うまいニャン
156012,よくある味ニャン
156013,いらないニャン！
156020,ふぁ～ん…
156021,う　うまいニャン
156022,よくある味ニャン
156023,いらないニャン！
156030,ふにゃぁ～あ…
156031,う　うまいニャン
156032,よくある味ニャン
156033,いらないニャン！
156040,ニャァ…
156041,う　うまいニャン
156042,よくある味ニャン
156043,いらないニャン！
157000,キュウリたべたいっす
157001,最高っす！
157002,なんてことないっす
157003,へんな味っす
157600,キュウリたべたいなー
157601,えせガッパのすき
157602,えせガッパのノーマル
157603,えせガッパのきらい
158000,Ｚｚｚｚ…
158001,新鮮でうまい！
158002,よく食べるやつだ
158003,きもちわるいぞ…
158010,Ｚｚｚｚ…
158011,これ食べたかったんだ
158012,普通においしいぞ
158013,は　吐きそう…
159000,こ　こわいズラ…
159001,もんげーーっ！
159002,まぁまぁズラ
159003,まんずぅ～…
159010,ふえぇ～ん…
159011,うまいズラ！
159012,そこそこズラ
159013,まずいズラ…
159600,ふえぇ～ん…
159601,ダマさんのすき
159602,ダマさんのノーマル
159603,ダマさんのきらい
159900,ズ…ズラ…
159901,最高ズラ！
159902,もぐもぐ…
159903,はきそうズラ…
159910,飽きたズラ…
159911,もんげーうまいズラ！
159912,なかなかズラね
159913,これはいらないズラ…
160000,クゥゥーン…
160001,幸せの味だぁ～
160002,ごちそうさまでした
160003,ワウー！　苦手だ…
160020,ちょっとタンマ！
160021,わぁ！　おいしいぞ！
160022,ごちそうになった
160023,ワウー…
161000,ボー…
161001,うま～
161002,ほえ～
161003,まず…
161010,え…　え～っと…
161011,おお…　おいしい…
161012,う…　うん…
161013,げ…　げげげ…
161600,ボー…
161601,ボーどろのすき
161602,ボーどろのノーマル
161603,ボーどろのきらい
162000,寒くて動けない…
162001,絶妙な温かさ！
162002,ありがとうございます
162003,だめ…体冷えちゃう…
163000,なんだかな～
163001,わおおん！うまいな！
163002,うーん　アリガト
163003,今のもうやだよ！
163010,あついぃ…
163011,ゲキ熱だな！
163012,普通ってことで
163013,ゲキ寒…
163600,なんだかな～
163601,サギ王子のすき
163602,サギ王子のノーマル
163603,サギ王子のきらい
164000,も　もれそう…
164001,はぁん！　おいしい！
164002,ありがとう～
164003,まずい…
164010,ふるえがとまらない…
164011,うまい…プルプル…
164012,も～ぐ　も～ぐ
164013,ま…　まずい…
165000,おっとっと
165001,ふぉっ　うまいっ！
165002,悪くないのう
165003,今のはいらんぞ
165010,ややっ
165011,キタッ！　これじゃ！
165012,面目ない
165013,もうけっこうじゃ
166000,帰りた～い
166001,うまいじゃん！
166002,ふーん…
166003,出直してこいよ～
166010,たいくつ　だな～
166011,やっぱ　これだよね！
166012,もらっとくよ
166013,なんか違うな～
166600,帰りた～い
166601,キザ天狗のすき
166602,キザ天狗のノーマル
166603,キザ天狗のきらい
167000,ひ　ひもじぃ～
167001,お　に　ぎ　り！
167002,ありがたいのう…
167003,…いまいちじゃの
167010,ひからびてきた…
167011,米は宝じゃ～！
167012,悪いのう
167013,今のはもういらんぞ…
167600,ひ　ひもじぃ～
167601,キモ爺のすき
167602,キモ爺のノーマル
167603,キモ爺のきらい
168000,くいもんないかのぉ
168001,もっとくれぇ！！
168002,なんでもござれじゃ！
168003,これは　さすがに…
169000,チクショー！
169001,うまい！
169002,悪くないですね
169003,う～ん…
169600,チクショー！
169601,悪メン犬のすき
169602,悪メン犬のノーマル
169603,悪メン犬のきらい
170000,休むぜ～
170001,クセになる味だ！
170002,ガツガツ…
170003,がっかり…
170010,休むぜ～
170011,クセになるな！
170012,ふんふん
170013,マズー
171000,ハッハッハ…
171001,ウハハハハ！
171002,フフフ…
171003,ゲヴォー…
171010,ラ～ラ～ラ～♪
171011,コレいいね♪
171012,悪くないね♪
171013,これはちょっと…
171020,シャ～…
171021,気に入った！
171022,なかなかいいね～
171023,ぐほぉーっ！
171600,シャ～…
171601,ねつぞウナギのすき
171602,ねつぞウナギのノーマル
171603,ねつぞウナギのきらい
172000,絶不調
172001,絶好調！
172002,いいね～
172003,違うかな…
172010,もう絶交だっ！
172011,超うんめーーーっ！
172012,いいんじゃない？
172013,味がわかんない…
172600,絶不調
172601,絶不蝶のすき
172602,絶不蝶のノーマル
172603,絶不蝶のきらい
173000,チョウつかれた
173001,超さいこうだわ！
173002,まぁまぁネ
173003,超苦手だわ…
173010,ふふふ～ん
173011,ヘブン！
173012,いいお味ね
173013,…もうけっこうよ
174000,へろへろ～
174001,ダシが最高だっ！
174002,イケるね
174003,気持ちはうれしいけど
174010,くたくた～
174011,喜びのダンスです！
174012,悪くないですね！
174013,これはいけません…
174020,ふらふら～
174021,メカブに合うかも！
174022,不思議な味ね
174023,いやーん！
175000,ヘッ…！
175001,キュン！　おいちい！
175002,ありがと！
175003,ふざけんじゃねぇぞ
175600,ヘッ…！
175601,腹黒郎のすき
175602,腹黒郎のノーマル
175603,腹黒郎のきらい
176000,ケッ…！
176001,キュ～！　最高！
176002,ふふ　いいね～
176003,帰れ！
176010,チッ…！
176011,キュ～！　うまいな
176012,どうってことねぇな
176013,てめぇ　ざけんな
177000,ボーノー…
177001,ボーノ　ボーノ！
177002,まあまあボーノ
177003,まずいボーノ…
