id,body
1000,私は　妖怪執事のウィスパー\nよろしくでうぃっす！
1800,私　怪しい者ではごぜぇやせん\nよろしくお願いしますでうぃす！
101000,ふ～　ちょっとぶようじんすぎたかな…\nま　いっか！　ともだちになろうよ！
102000,お前　やるじゃんか～\n俺の心は　がらあきだぜ！
102010,ひゃっほー！　すごい人間みつけたぜー！\nお前！　俺とともだちになれー！
103000,ん…？　ボクとともだちになる～？　\n長続きするか　わからないけどね～
104000,お主　ワシとともだちにならんかのぉ～\nまあ　すぐやめたくなるじゃろうが…
104010,お主とのバトルは　もうせん！\nこれからは　ともだちじゃ！
105000,すごい　人間見つけちゃったモチ！\nともだちになるモチ！
105010,お前の強さにジェラシー！！\nともだちにならんと　気がすまんぞ～！
106000,お前　なかなかやるとぉ～\nだるいけど　ともだちになってもよかとよ
107000,ザンバラバラ…　\nお前とはともだちになっても…　いい…
107010,ダラララー！\nともだちなるぞー！
108000,この出会いは　運命の出会いだ…\nかけてもいい！
109000,お前！　やるじゃないか\nともだちとして認めざるをえんな！
109010,お主と　せっしゃは\n今日から　ともだちでござるぞ！
110000,フフフ…　お前　ともだちになるか…？\nただし　背後には気をつけろよ？
111000,お主　強いのぉ～\nしばらくお主に世話になろうかのぉ～
112000,お主やるのぉ～　ワシの家来…\nいや！　ともだちにならんか！？
112010,黄泉の国から　よみがえり\n探し求めた武に　ようやく出会えたぞ！
113000,メラメラァ～！\n（ともだちに　なるぞ！）
113010,心…　ふるえたゼ！\n今日から俺とお前は　ダチだ！
113020,心　轟いたゾォー！！\nうぉおおおおぉぉおお！
114000,熱い戦いだったぜ！\nお前とならともだちになってもいいぜ！
115000,俺の力をこえてくるとはな…\nどうだ　ともだちにならんか！？
115010,戦いの神を倒すとはな…\n俺とお前は対等…　そう！　ともだちだ！
116000,まさか負けるとは…　こうなったら\nともだちになるしかないでござる！
116010,貴様ら　なかなか面白そうだな\nいいぞ！　つれていくがよい！
117000,くっそー！　まさか負けるなんてよぉ～！\nともだちになれ！　じゃなきゃおさまらん！
117010,強い子はいねがー！？\nともだちなるべー！
118000,きみ強いねぇ～\nどう？　ともだちになる？
118010,ともだちになろうよ！　今風邪っぽいから\nうつしちゃうカモだけど…
119000,わかっちゃった！　あなた…\n私とともだちになりたいんでしょ？
119010,ん～　あなたの強さ読めませんでした\nともだちになりましょう！
120000,ともだちなりましょう\nまだ　ともだちなってませんでしたよね？
120010,あへへ～\nともだちなろ？
121000,うひゃひゃひゃ！　あんた強すぎ～！\nともだちなろう…　ひゃひゃひゃ！
121010,きみ…　強すぎてふるえてきちゃったよ…\nともだちなっとこうか～
122000,お主の強さに感服したでござる！\n家臣にしてはくださらんか！？
