id,body
1000,もう　ガシャ玉の中はこりごりでうぃす～\n外に出してくれてありがとうでうぃす！
1800,ひさしぶりにガシャ玉から出ましたが\n戦国の世とは様変わりしておりますね
101000,オイラを出すなんて不用心だねえ\nいいよ　いっしょに遊ぼう！！
102000,お前が開けてくれたのか！？\n今日からよろしくなっ！！
102010,イヤッホーウ！　ありがとう！\nお礼だ！　今日からおれたちともだちだっ！
103000,出してくれてありがとう～\nともだちになろっか～
104000,そろそろ　このせまい空間は\nやめたかったのじゃ…　お主に感謝するぞ
104010,ガシャ玉からはもう出ん！　と思っていたが\n出されたからには　連れて行ってもらうぞい
105000,出してくれてありがとモチ！\nお前の荷物　持ってやるモチ！
105010,出してくれてありがとモチ！\n一生ついていくモチ！
106000,お前が　起こしてくれたとね？\nお礼にともだちに　なってやるけん～
107000,ザンバラァ…　お～　おれを連れて行こう\nって感じかぁ？　いいぞぉ～行くか～
107010,ダラァ…！　お？　開いたのか！\nよっしゃ　だらけながら行くかぁ～
108000,このオレを出すとは　勝負に出たな！？\nそのかけ　お前の勝ちだ！
109000,再び日の光を浴びることができるとは…\nせっしゃはまさむね　以後よろしく頼む
109010,おお　外の空気じゃ！　かたじけない！\nせっしゃ　お主について行くでござる！
110000,ほう　オレを目覚めさせたのはお前か…\nいいだろう　オレも参ろう
111000,むむ！？　首から下がない！？\n悪いが　ワシの体をさがしてくれんかの
112000,なんじゃ　家来志願者じゃないのか…\nまぁよかろう！　さっさと旅に出るぞ！
112010,この出会い…　黄泉から参ったかいが\nあったというものじゃ！
113000,メラァ～　メラメラァ～！\n（今日から　ともだちだ！）
113010,心ふるえたぜ！　サンキューなっ！\n俺とお前は今からダチだ！
113020,うおおおぉぉおお！！　お前の気持ちが\n轟いたゾォ！！　ついていくぜ！！
114000,出してくれてありがとう！　\n気合いがみなぎってきたぜ！
115000,俺はもっと強くなるんじゃ！\nここから出してくれて　感謝するぞ！
115010,戦いの神となったわしを目覚めさせたのは\nお前か…　フフ…　おもしろい！
116000,人生で二度も運命の出会いをするとはの…\nワシはお主にどこまでもついてゆく…！！
116010,ふぅ～　ようやく出られたわ！\n貴様らに　感謝するぞ！
117000,ここから出したのはお前かっ！　くそー！\nむしゃくしゃするほどいいヤツだな！
117010,ここから出してくれたおめぇが\n悪い子なはずねェ　ともだちなるべ！
118000,きみのその優しさで　はなみずを\n止めてくれるとうれしいな！
118010,かぜ　うつしちゃってもいいなら\nボクも連れて行ってよ！　へくしょんっ！
119000,あなたが私を出してくれること　\nわかってた　待ってたわよ！
119010,私とともだちになりたいんですね\nうれしいです！　よろしくお願いしますね
120000,オホホホ！　ようやく外に出られました\n感謝いたしますよ～
120010,ボクは天才だからね～！\nともだちにしとくと得だよ～！　うへへ～
121000,ひゃひゃひゃ！　私を出すなんて！\nあんた最高ね！　あひゃひゃひゃ！！
121010,出してくれてありがと！\nうれしくて　ふるえちゃうわ…
122000,お主が出してくれたでござるか！\n礼を申す！　
122010,お主の行い　感謝する！\nあ！　あっぱれなりぃー！
123000,センキュー！　モテモテのボクと\n付き合って楽しいことしようよ！
124000,ボクがいるとモテまくって\nこまっちゃうかもね～？　それでも大丈夫？
124010,だれも引き当ててくれないと思ってたよ…\nありがとう　感謝してる…
125000,ババーン！！\n（これから　よろしく頼むよ！）
125010,ババーン！！\n（あんた幸運だね！　ワシが出るなんて！）
126000,ババーン！！\n（今日から　ここでお世話になるよ！）
127000,お主　いい夢を見せてくれそうじゃの\nついていってやろうかの
127010,ぼくをともだちにしてくれたあかつきには\n毎日いい夢をみせてあげる　どうだい？
128000,いえーい！　外だぜ！　お前！\nありがとなーっ！　ともだちなろーぜえ！！
129000,きみからいい電波が出てる　その電波で\nボクを引き当てた！　これからよろしく！
129010,やっと出れた～！　ありがとう\nこれからいっしょに電波　食べようね～
130000,ぺろ～ん　ありがとうございまーす！\nこれから　よろしくおねがいしまーす！
130010,お前　鏡の力に興味はないかい？\nおれといっしょなら楽しいぜ…？
131000,ほっほ…　外に出られたのはまぼろしでは\nないのじゃな…？　お主に感謝するぞい！
131010,そこの若いの　礼を申すぞ！\nわしと　ともだちになってみないか？
131020,放浪の末　ながらくこのガシャ玉の中に\nおったのじゃ…　お主に感謝するぞい！
132000,ハァ　寒かった…　出してくれて\nどうもありがとう！　これからよろしくね
133000,あなた　なかなかいい顔してるわね\nいいわ　どこへでも連れてって
133010,私を外へ出して　タダですむと思ったら\n大間違いじゃぞ！　ともだちになれい！
133800,はぁ退屈～　ぼさっとしてないで\nさっさと楽しませてくれる？
134000,きみが出してくれたのかい？\nなら　言うことを聞くしかないようだね
134010,ほう　私を引き当てるとは…\n奇跡が起きたようですね
134020,フフフ…　私を呼び覚ますとは…\n後悔することになるぞ…
135000,なんだ～　だりぃなぁ～　ああ…？\nおれと行動するのか？　だりぃなぁ…
136000,トレーニング中に何の用だ？　おお　旅か！\n新しい修行としちゃあ　悪くないな！
136010,解放したのはお前か？　よかろう！\nお前をどんな敵からも守ろう！
137000,ありがと～！　さっそくだけど\nきみののど　イガイガさせていい？
137010,ともだちになってくれたら\nうれしくて　頭痛くなっちゃうよ！
138000,服のセンスに　あなたが出てるわね\nあなた　すてきね…　ともだちになって！
139000,おっしゃれ～！　ステキな場所ね\n決めた！　今日からここで暮らすわ！
139010,あなた　とてもきれいな骨してるわ！\nもっとよく見せてちょうだい！
140000,ム～リ～！！\n（ともだちになる！　拒否はムリだからな！）
141000,ここから出るのはムリだと思ってたじょー！\n感謝するじょー！
141010,出してくれた礼だ\nお前の命　このシロカベが守ってやるぞ！
142000,ともだちになってくれるまでここを通さん！\nもう一度言う！　通しはせんぞ！
142010,おれは　お前とともだちになるんだ！\nともだちになってくれるまで絶対に通さん！
143000,きみが　ボクを見つけてくれたのか！\nいっしょに　探し物を手伝ってくれ！
144000,ややっ　けいこ中に　ガシャが当たるとは…\nお主も一緒に　けいこするでごわす！
144010,お主のようなやつを待っておった！\n世界一強くなりたいのじゃ！　協力せい！
145000,久しぶりの外の空気だ　礼を言うぜ！\nこのオレが　ともだちになってやる！
146000,このままでは　体がなまってしまうところ\nだったわい！　お主　感謝するぞ！
146010,お主とワシは一心同体　ともだちじゃ！\nワシは強さならだれにも負けぬぞ！？
147000,常に１位でいるヤツこそ　一番偉いのじゃ！\nワシを連れてゆけば　ずーっと一番じゃぞ！
147010,銅は強くたくましい！　明日は今日より\nすばらしい日にすべく　ワシを連れて行け！
147020,ワシを手に入れた程度で　満足するなかれ！\n銀の輝きの　さらにその上を目指すのじゃ！
147030,む…　お主　心の底にプラチナ級の輝きを\n秘めておるな？　ともだちになろうぞ！
148000,ガシャ玉の中　意外と快適だったよぉ\nきみも一回入ってみれば？
148010,海より広い心を感じるよぉ…\nきみ　ただ者じゃないねぇ？
149000,お前　いいくじ運を持ってるミーン！\nともだちになろうミーン！
