id,body
1000,妖怪執事を名乗る妖怪。\nたいていの妖怪の情報を\nスラスラと教えてくれるが\n実は妖怪パッドを見ながら\n知ったかぶりをしているだけ。
1800,戦国武将の石田三成に\n妖怪軍師として仕えた妖怪。\n本当の名は『シッタカブリ』。\nとりつかれると知ったかぶりで\nでまかせばかり言ってしまう。
101000,ふんどし　いっちょうに\nお鍋をかぶっただけで\n戦に乗り込む　不用心な妖怪。\nとりついた人間まで\n不用心にする困ったやつ。
102000,お鍋をかぶることすらやめて\n自分の体を守るものは\nなにも身につけていないが\nちょっとのキズでは動じない\nたくましい戦士に成長した。
102010,どんな戦場にも　一番に\nのりこむことをモットーにした\n特攻命の命知らずな妖怪。\nはだかで戦ってばかりいるので\n年中　日焼けしているのだ。
103000,つづかな僧がとなえる\n念仏をきくと\n一度決めたことを続けられない\n意志の弱い人に\nなってしまうぞ。
104000,なんでもすぐに\nあきてしまう和尚。\n立派なマユゲとヒゲだが\n実は　単にめんどくさくて\n伸び放題なだけというウワサ。
104010,どんなことも\n「もうせん！」と言って\n同じことは二度としない。\n何でも一通り経験しているので\n会話の幅広さには定評がある。
105000,いつもは　もち肌が魅力の\nかわいいやつだが\n一度怒ると　ふくれあがり\n体が割れて　中から　\n男らしい顔が飛び出すぞ。
105010,好きになったら\n相手が　どんなことをしても\nヤキモチを焼いてしまう。\nこいつに　とりつかれると\nヤキモチ焼きになっちゃうぞ。
106000,西のほうからダラダラと\nやってきた　ダラけるのが\nなにより好きな　刀の妖怪。\n人のやる気を奪う　困り者だが\n切れ味は　なかなかである。
107000,美容院に行くことが\n面倒くさくなって　アブない\nヘアスタイルになった妖怪。\n伸びきったザンバラ頭で\n敵を斬りきざむようになった。
107010,ダラダラと相手に近づいて\n油断を見せた瞬間を狙い\nズバッと一太刀で斬り捨てる。\nだらしない見た目からは\n想像できない　恐ろしい妖怪。
108000,かつては剣の道を極めた\n武士だったが　バクチの世界に\n身を落としてしまい\n武士の心を忘れてしまった。\n逃げ足だけは速い。
109000,武士としての心をゆさぶられる\n名刀と出会い\n剣の道に舞い戻った妖怪剣士。\nかつて　きたえた剣の腕で\n悪党を成敗する。
109010,神が天からさずけたという\n神剣を持つ　光り輝く聖剣士。\nそのするどい刃は\nあらゆる悪を断ち\n世界に平和をもたらすという。
110000,邪悪な妖刀に心をうばわれ\nだれかの血を求めて\nさまよう亡霊剣士。\n背後から忍びより\n音もなく斬りすてる。　　
111000,戦国時代に　名のある武将が\nつけていたというカブトが\n妖怪になった。\n片割れのヨロイをさがし求め\nさまよう姿は生首そのもの。
112000,離れ離れだった\nカブトとヨロイがひとつになり\n現代によみがえった武将の霊。\n果たせなかった天下統一を\nめざしている。
112010,その昔　圧倒的なカリスマ性で\n多くの武将をたばねていた\n黄泉ゲンスイ。\n死んだあとも　地獄で\n亡霊の大軍をひきいている。
113000,炎のたてがみを持った\nひゃくじゅうの王。\nとりついた相手に\nメラメラと燃える心をそそぐ\n心の底からアツいやつだ。
113010,たくましい足を　交互に鳴らし\nグラグラと大地をゆらす。\nグラグライオンがおこす振動は\nガンコな人の心も\n動かす力があるという。
