id,skill_id,level,name,description,description_gacha
1,1,1,居座り,ヒョーイしてから{0}分の間は\nパスさせない,ヒョーイしてから\n一定時間は\nパスされなくなる
2,1,2,居座り,ヒョーイしてから{0}分の間は\nパスさせない,ヒョーイしてから\n一定時間は\nパスされなくなる
3,1,3,居座り,ヒョーイしてから{0}分の間は\nパスさせない,ヒョーイしてから\n一定時間は\nパスされなくなる
4,2,1,移り気(ヨーカ),パスされると　おでかけ結果の\nヨーカが{0}%増加する(5回まで),パスされると\nおでかけ結果で\n得られるヨーカが\n増加(5回まで)
5,2,2,移り気(ヨーカ),パスされると　おでかけ結果の\nヨーカが{0}%増加する(5回まで),パスされると\nおでかけ結果で\n得られるヨーカが\n増加(5回まで)
6,2,3,移り気(ヨーカ),パスされると　おでかけ結果の\nヨーカが{0}%増加する(5回まで),パスされると\nおでかけ結果で\n得られるヨーカが\n増加(5回まで)
7,3,1,移り気(友達),パスされると　妖怪を連れて帰ってくる\n確率が増加する(5回まで),パスされると\n妖怪を連れて\n帰ってくる確率が\n増加(5回まで)
8,3,2,移り気(友達),パスされると　妖怪を連れて帰ってくる\n確率が増加する(5回まで),パスされると\n妖怪を連れて\n帰ってくる確率が\n増加(5回まで)
9,3,3,移り気(友達),パスされると　妖怪を連れて帰ってくる\n確率が増加する(5回まで),パスされると\n妖怪を連れて\n帰ってくる確率が\n増加(5回まで)
10,4,1,移り気(お土産),パスされると　おみやげ入手確率が\n{0}%増加する(5回まで),パスされると\nおみやげを持って\n帰ってくる確率が\n増加(5回まで)
11,4,2,移り気(お土産),パスされると　おみやげ入手確率が\n{0}%増加する(5回まで),パスされると\nおみやげを持って\n帰ってくる確率が\n増加(5回まで)
12,4,3,移り気(お土産),パスされると　おみやげ入手確率が\n{0}%増加する(5回まで),パスされると\nおみやげを持って\n帰ってくる確率が\n増加(5回まで)
13,5,1,親しみ,Ｓ、Ａ、Ｂランクの妖怪を\n連れて帰ってくる確率が\n{0}%増加する,Ｓ、Ａ、Ｂランク\nの妖怪を連れて\n帰ってくる確率が\n増加する
14,5,2,親しみ,Ｓ、Ａ、Ｂランクの妖怪を\n連れて帰ってくる確率が\n{0}%増加する,Ｓ、Ａ、Ｂランク\nの妖怪を連れて\n帰ってくる確率が\n増加する
15,5,3,親しみ,Ｓ、Ａ、Ｂランクの妖怪を\n連れて帰ってくる確率が\n{0}%増加する,Ｓ、Ａ、Ｂランク\nの妖怪を連れて\n帰ってくる確率が\n増加する
16,6,1,仲良し,妖怪を連れて帰ってくる確率が\n{0}%増加する,妖怪を連れて\n帰ってくる確率が\n増加する
17,6,2,仲良し,妖怪を連れて帰ってくる確率が\n{0}%増加する,妖怪を連れて\n帰ってくる確率が\n増加する
18,6,3,仲良し,妖怪を連れて帰ってくる確率が\n{0}%増加する,妖怪を連れて\n帰ってくる確率が\n増加する
