area_code,monster_id_1,monster_weight_1,monster_id_2,monster_weight_2,monster_id_3,monster_weight_3,monster_id_4,monster_weight_4,monster_id_5,monster_weight_5,monster_id_6,monster_weight_6,monster_id_7,monster_weight_7,monster_id_8,monster_weight_8,monster_id_9,monster_weight_9,monster_id_10,monster_weight_10
011011,557000,2353,503000,2353,152000,1765,272000,1765,568000,1176,639000,588,0,0,0,0,0,0,0,0
011029,519000,2353,291000,2353,159000,1765,201000,1765,179010,1176,585000,588,0,0,0,0,0,0,0,0
011037,629000,2105,291000,2105,401000,1579,560000,1579,219000,1053,568000,1053,529000,526,0,0,0,0,0,0
011045,629000,2500,503000,2500,152000,1875,341000,1250,568000,1250,529000,625,0,0,0,0,0,0,0,0
011053,594000,2105,120010,2105,159000,1579,505000,1579,730000,1053,620000,1053,529000,526,0,0,0,0,0,0
011061,169000,2105,503000,2105,401000,1579,501000,1579,733000,1053,607000,1053,529000,526,0,0,0,0,0,0
011070,519000,2353,291000,2353,152000,1765,121000,1765,305000,1176,529000,588,0,0,0,0,0,0,0,0
011088,169000,2105,614000,2105,159000,1579,272000,1579,733000,1053,580000,1053,529000,526,0,0,0,0,0,0
011096,174010,2105,291000,2105,401000,1579,560000,1579,121010,1053,730000,1053,529000,526,0,0,0,0,0,0
011100,169000,2353,503000,2353,152000,1765,201000,1765,620000,1176,529000,588,0,0,0,0,0,0,0,0
012025,573000,2105,187000,2105,159010,1579,505000,1579,194000,1053,147010,1053,529000,526,0,0,0,0,0,0
012033,557000,2500,503000,2500,152000,1875,568000,1250,206000,1250,529000,625,0,0,0,0,0,0,0,0
012041,169000,2105,277000,2105,159000,1579,501000,1579,341000,1053,766000,1053,529000,526,0,0,0,0,0,0
012050,315000,2105,503000,2105,152000,1579,137010,1579,568000,1053,510000,1053,529000,526,0,0,0,0,0,0
012068,174010,2105,614000,2105,152000,1579,561000,1579,194000,1053,219000,1053,529000,526,0,0,0,0,0,0
012076,169000,2105,291000,2105,159000,1579,501000,1579,568000,1053,341000,1053,529000,526,0,0,0,0,0,0
012084,174010,2105,615000,2105,401000,1579,501000,1579,733000,1053,580000,1053,529000,526,0,0,0,0,0,0
012092,169000,2286,503000,2286,159010,1714,152000,1714,219000,1143,529000,571,377000,286,0,0,0,0,0,0
012106,169000,2105,291000,2105,159000,1579,577000,1579,638000,1053,179010,1053,529000,526,0,0,0,0,0,0
012114,174010,2500,118000,2500,137010,1875,218000,1250,620000,1250,529000,625,0,0,0,0,0,0,0,0
012122,174010,2500,503000,2500,137010,1875,219000,1250,305000,1250,529000,625,0,0,0,0,0,0,0,0
012131,174010,2222,615000,2222,152000,1667,341000,1111,194000,1111,735000,1111,529000,556,0,0,0,0,0,0
012149,315000,2500,291000,2500,159000,1875,218000,1250,121010,1250,452000,625,0,0,0,0,0,0,0,0
012157,169000,2105,503000,2105,152000,1579,577000,1579,179010,1053,510000,1053,529000,526,0,0,0,0,0,0
012165,519000,2353,291000,2353,152000,1765,401000,1765,219000,1176,529000,588,0,0,0,0,0,0,0,0
012173,594000,2353,615000,2353,152000,1765,203000,1765,305000,1176,529000,588,0,0,0,0,0,0,0,0
012181,169000,2500,291000,2500,159000,1875,179010,1250,638000,1250,529000,625,0,0,0,0,0,0,0,0
012190,315000,2105,503000,2105,152000,1579,137010,1579,218000,1053,510000,1053,529000,526,0,0,0,0,0,0
012203,258000,2105,503000,2105,152000,1579,401000,1579,219000,1053,509000,1053,529000,526,0,0,0,0,0,0
012211,629000,2105,615000,2105,152000,1579,524000,1579,305000,1053,341000,1053,529000,526,0,0,0,0,0,0
012220,169000,2424,291000,2424,159000,1818,179010,1212,305000,1212,529000,606,377000,303,0,0,0,0,0,0
012238,174010,2353,118000,2353,137010,1765,561000,1765,147010,1176,285000,588,0,0,0,0,0,0,0,0
012246,118000,2500,169000,2500,159010,1875,341000,1250,766000,1250,597020,625,0,0,0,0,0,0,0,0
012254,169000,2500,291000,2500,152000,1875,341000,1250,305000,1250,529000,625,0,0,0,0,0,0,0,0
012262,629000,2500,632000,2500,159000,1875,179010,1250,601000,1250,529000,625,0,0,0,0,0,0,0,0
012271,519000,2500,615000,2500,401000,1875,730000,1250,638000,1250,529000,625,0,0,0,0,0,0,0,0
012289,594000,2105,503000,2105,152000,1579,577000,1579,733000,1053,510000,1053,529000,526,0,0,0,0,0,0
012297,169000,2051,277000,2051,159000,1538,524000,1538,341000,1026,580000,1026,529000,513,377000,256,0,0,0,0
012301,573000,2353,291000,2353,152000,1765,121000,1765,305000,1176,529000,588,0,0,0,0,0,0,0,0
012319,169000,2105,503000,2105,401000,1579,203000,1579,766000,1053,341000,1053,529000,526,0,0,0,0,0,0
012335,174010,2105,187000,2105,159010,1579,137010,1579,218000,1053,510000,1053,529000,526,0,0,0,0,0,0
012343,594000,2105,632000,2105,152000,1579,401000,1579,341000,1053,164010,1053,529000,526,0,0,0,0,0,0
012351,174010,2500,187000,2500,137010,1875,194000,1250,305000,1250,529000,625,0,0,0,0,0,0,0,0
012360,174010,2105,632000,2105,137010,1579,506000,1579,218000,1053,580000,1053,529000,526,0,0,0,0,0,0
013030,169000,2857,291000,2857,152000,2143,179010,1429,585000,714,0,0,0,0,0,0,0,0,0,0
013048,169000,2500,503000,2500,159000,1875,219000,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
013315,174010,2500,503000,2500,137010,1875,147010,1250,766000,1250,285000,625,0,0,0,0,0,0,0,0
013323,174010,2500,291000,2500,152000,1875,151010,1250,620000,1250,529000,625,0,0,0,0,0,0,0,0
013331,174010,2500,503000,2500,159000,1875,179010,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
013340,174010,2500,503000,2500,137010,1875,640000,1250,151010,1250,529000,625,0,0,0,0,0,0,0,0
013374,118000,2500,615000,2500,401000,1875,219000,1250,638000,1250,529000,625,0,0,0,0,0,0,0,0
013439,174010,2105,291000,2105,159010,1579,137010,1579,179010,1053,510000,1053,529000,526,0,0,0,0,0,0
013455,174010,2105,503000,2105,159010,1579,584000,1579,218000,1053,509000,1053,529000,526,0,0,0,0,0,0
013463,174010,2500,503000,2500,159010,1875,247000,1250,620000,1250,529000,625,0,0,0,0,0,0,0,0
013471,594000,2500,291000,2500,137010,1875,218000,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
013617,174010,2105,615000,2105,137010,1579,506000,1579,179010,1053,766000,1053,529000,526,0,0,0,0,0,0
013625,174010,2105,503000,2105,137010,1579,561000,1579,151010,1053,218000,1053,529000,526,0,0,0,0,0,0
013633,169000,2500,291000,2500,401000,1875,179010,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
013641,174010,2500,503000,2500,152000,1875,247000,1250,620000,1250,529000,625,0,0,0,0,0,0,0,0
013676,174010,2857,189000,2857,159000,2143,179010,1429,529000,714,0,0,0,0,0,0,0,0,0,0
013706,169000,2105,503000,2105,401000,1579,618000,1579,620000,1053,730000,1053,529000,526,0,0,0,0,0,0
013714,174010,2105,632000,2105,159010,1579,137010,1579,179010,1053,580000,1053,529000,526,0,0,0,0,0,0
013919,174010,2105,503000,2105,159010,1579,121000,1579,151010,1053,219000,1053,529000,526,0,0,0,0,0,0
013927,174010,2222,503000,2222,152000,1667,640000,1111,151010,1111,509000,1111,529000,556,0,0,0,0,0,0
013935,169000,2963,189000,2963,159010,2222,179010,1481,706000,370,0,0,0,0,0,0,0,0,0,0
013943,174010,2353,503000,2353,152000,1765,121000,1765,525000,1176,529000,588,0,0,0,0,0,0,0,0
013951,573000,2105,503000,2105,401000,1579,186010,1579,144000,1053,580000,1053,529000,526,0,0,0,0,0,0
013960,594000,2500,632000,2500,159010,1875,179010,1250,144000,1250,529000,625,0,0,0,0,0,0,0,0
013978,169000,2500,503000,2500,401000,1875,179010,1250,601000,1250,529000,625,0,0,0,0,0,0,0,0
013986,594000,2353,615000,2353,159010,1765,401000,1765,144000,1176,529000,588,0,0,0,0,0,0,0,0
013994,169000,2105,503000,2105,401000,1579,186010,1579,179010,1053,144000,1053,529000,526,0,0,0,0,0,0
014001,169000,2105,503000,2105,152000,1579,203000,1579,144000,1053,341000,1053,529000,526,0,0,0,0,0,0
014010,174010,2857,189000,2857,159000,2143,640000,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014028,174010,2857,503000,2857,159000,2143,218000,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014036,174000,2500,503000,2500,137010,1875,179010,1250,151010,1250,529000,625,0,0,0,0,0,0,0,0
014044,174010,2353,503000,2353,137010,1765,584000,1765,151010,1176,529000,588,0,0,0,0,0,0,0,0
014052,174010,2857,291000,2857,137010,2143,179010,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014061,174010,2857,503000,2857,137010,2143,218000,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014079,169000,2500,503000,2500,152000,1875,525000,1250,638000,1250,529000,625,0,0,0,0,0,0,0,0
014087,174010,2500,291000,2500,159000,1875,179010,1250,601000,1250,529000,625,0,0,0,0,0,0,0,0
014095,169000,2500,503000,2500,152000,1875,730000,1250,151010,1250,529000,625,0,0,0,0,0,0,0,0
014231,169000,2500,189000,2500,159000,1875,179010,1250,638000,1250,529000,625,0,0,0,0,0,0,0,0
014249,169000,2353,615000,2353,401000,1765,584000,1765,620000,1176,529000,588,0,0,0,0,0,0,0,0
014257,594000,2500,291000,2500,401000,1875,179010,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
014273,169000,2353,632000,2353,159010,1765,152000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
014281,519000,2105,189000,2105,159000,1579,618000,1579,179010,1053,509000,1053,529000,526,0,0,0,0,0,0
014290,169000,2500,632000,2500,401000,1875,179010,1250,510000,1250,529000,625,0,0,0,0,0,0,0,0
014303,594000,2353,291000,2353,401000,1765,561000,1765,730000,1176,529000,588,0,0,0,0,0,0,0,0
014311,169000,2424,503000,2424,152000,1818,179010,1212,525000,1212,529000,606,377000,303,0,0,0,0,0,0
014320,629000,2353,189000,2353,401000,1765,577000,1765,341000,1176,529000,588,0,0,0,0,0,0,0,0
014338,169000,2855,291000,2855,152000,2141,179010,1428,529000,714,782000,7,0,0,0,0,0,0,0,0
014346,594000,2759,632000,2759,401000,2069,179010,1379,529000,690,706000,345,0,0,0,0,0,0,0,0
014362,169000,2105,503000,2105,213000,1579,584000,1579,525000,1053,580000,1053,529000,526,0,0,0,0,0,0
014371,594000,2500,291000,2500,213000,1875,179010,1250,619000,1250,529000,625,0,0,0,0,0,0,0,0
014389,519000,2105,503000,2105,401000,1579,577000,1579,179010,1053,580000,1053,529000,526,0,0,0,0,0,0
014524,169000,2353,632000,2353,401000,1765,203000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
014532,594000,2353,503000,2353,152000,1765,203000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
014541,169000,2353,291000,2353,152000,1765,203000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
014559,169000,2500,189000,2500,401000,1875,179010,1250,601000,1250,529000,625,0,0,0,0,0,0,0,0
014567,629000,2500,632000,2500,152000,1875,730000,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
014575,169000,2857,189000,2857,159000,2143,179010,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014583,169000,2353,503000,2353,401000,1765,201000,1765,638000,1176,529000,588,0,0,0,0,0,0,0,0
014591,594000,2353,592000,2353,401000,1765,524000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
014605,169000,2105,632000,2105,152000,1579,561000,1579,638000,1053,341000,1053,529000,526,0,0,0,0,0,0
014613,519000,2500,189000,2500,159000,1875,341000,1250,619000,1250,529000,625,0,0,0,0,0,0,0,0
014621,169000,2857,503000,2857,401000,2143,179010,1429,529000,714,0,0,0,0,0,0,0,0,0,0
014630,169000,2105,149000,2105,159010,1579,152000,1579,151010,1053,179010,1053,529000,526,0,0,0,0,0,0
014648,629000,2105,291000,2105,152000,1579,506000,1579,620000,1053,179010,1053,529000,526,0,0,0,0,0,0
014656,169000,2353,632000,2353,401000,1765,201000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
014681,169000,2353,615000,2353,152000,1765,560000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
014699,594000,2105,503000,2105,401000,1579,584000,1579,733000,1053,509000,1053,529000,526,0,0,0,0,0,0
014702,169000,2500,291000,2500,401000,1875,179010,1250,581000,1250,529000,625,0,0,0,0,0,0,0,0
014711,197000,2353,503000,2353,152000,1765,203000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
014729,169000,2353,189000,2353,401000,1765,172010,1765,581000,1176,529000,588,0,0,0,0,0,0,0,0
014818,174010,2105,503000,2105,152000,1579,186010,1579,638000,1053,580000,1053,529000,526,0,0,0,0,0,0
014826,174010,2105,189000,2105,159000,1579,560000,1579,525000,1053,580000,1053,529000,526,0,0,0,0,0,0
014834,174010,2500,291000,2500,137010,1875,219000,1250,509000,1250,529000,625,0,0,0,0,0,0,0,0
014842,174010,2500,503000,2500,137010,1875,218000,1250,619000,1250,529000,625,0,0,0,0,0,0,0,0
014851,174010,2222,291000,2222,137010,1667,640000,1111,305000,1111,580000,1111,529000,556,0,0,0,0,0,0
014869,174010,2353,503000,2353,152000,1765,584000,1765,525000,1176,529000,588,0,0,0,0,0,0,0,0
014877,519000,2105,615000,2105,159000,1579,203000,1579,620000,1053,219000,1053,529000,526,0,0,0,0,0,0
015113,174010,2500,503000,2500,137010,1875,219000,1250,638000,1250,453000,625,0,0,0,0,0,0,0,0
015121,174010,2500,503000,2500,159000,1875,179010,1250,525000,1250,529000,625,0,0,0,0,0,0,0,0
015130,169000,2353,615000,2353,159000,1765,401000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
015148,174010,2222,291000,2222,137010,1667,219000,1111,305000,1111,580000,1111,529000,556,0,0,0,0,0,0
015164,174010,2353,503000,2353,159000,1765,186010,1765,601000,1176,529000,588,0,0,0,0,0,0,0,0
015172,174010,2759,503000,2759,137010,2069,218000,1379,639000,690,776000,345,0,0,0,0,0,0,0,0
015181,174010,2500,503000,2500,321000,1875,218000,1250,305000,1250,284000,625,0,0,0,0,0,0,0,0
015199,174010,2353,615000,2353,152000,1765,637000,1765,218000,1176,153000,588,0,0,0,0,0,0,0,0
015202,174010,2759,615000,2759,152000,2069,179010,1379,529000,690,706000,345,0,0,0,0,0,0,0,0
015431,169000,2500,615000,2500,159000,1875,341000,1250,179010,1250,529000,625,0,0,0,0,0,0,0,0
015440,594000,2222,503000,2222,159010,1667,401000,1667,733000,1111,580000,1111,0,0,0,0,0,0,0,0
015458,174010,2222,149000,2222,152000,1667,137010,1667,179010,1111,580000,1111,0,0,0,0,0,0,0,0
015466,169000,2353,503000,2353,159010,1765,401000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
015474,174010,2222,503000,2222,137010,1667,172010,1667,619000,1111,510000,1111,0,0,0,0,0,0,0,0
015491,629000,2353,503000,2353,159010,1765,584000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
015504,169000,2353,291000,2353,159010,1765,152000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
015521,118000,2105,503000,2105,401000,1579,506000,1579,305000,1053,179010,1053,529000,526,0,0,0,0,0,0
015555,594000,2353,503000,2353,152000,1765,201000,1765,341000,1176,529000,588,0,0,0,0,0,0,0,0
015598,629000,2353,503000,2353,159000,1765,188000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
015601,169000,2353,291000,2353,401000,1765,172010,1765,581000,1176,529000,588,0,0,0,0,0,0,0,0
015610,174010,2105,503000,2105,152000,1579,561000,1579,638000,1053,219000,1053,529000,526,0,0,0,0,0,0
015628,169000,2424,291000,2424,152000,1818,730000,1212,151010,1212,529000,606,706000,303,0,0,0,0,0,0
015636,174010,2500,503000,2500,137010,1875,218000,1250,581000,1250,529000,625,0,0,0,0,0,0,0,0
015644,629000,2353,291000,2353,401000,1765,188000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
015717,174010,2353,503000,2353,159010,1765,137010,1765,218000,1176,529000,588,0,0,0,0,0,0,0,0
015750,118000,2353,503000,2353,401000,1765,215000,1765,219000,1176,529000,588,0,0,0,0,0,0,0,0
015784,174010,2857,291000,2857,137010,2143,640000,1429,529000,714,0,0,0,0,0,0,0,0,0,0
015814,174010,2500,503000,2500,159000,1875,219000,1250,194000,1250,529000,625,0,0,0,0,0,0,0,0
015849,118000,2353,291000,2353,137010,1765,188000,1765,219000,1176,529000,588,0,0,0,0,0,0,0,0
015857,629000,2667,503000,2667,159010,2000,618000,2000,529000,667,0,0,0,0,0,0,0,0,0,0
015865,187000,2424,189000,2424,159000,1818,179010,1212,305000,1212,529000,606,377000,303,0,0,0,0,0,0
016012,174010,2353,149000,2353,159010,1765,152000,1765,219000,1176,145000,588,0,0,0,0,0,0,0,0
016021,169000,2353,503000,2353,152000,1765,186010,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
016047,174010,2353,291000,2353,137010,1765,188000,1765,218000,1176,529000,588,0,0,0,0,0,0,0,0
016071,174010,2353,503000,2353,137010,1765,618000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
016080,174010,2353,503000,2353,637000,1765,186010,1765,151010,1176,529000,588,0,0,0,0,0,0,0,0
016098,174010,2500,503000,2500,137010,1875,151010,1250,341000,1250,285000,625,0,0,0,0,0,0,0,0
016101,174010,2500,632000,2500,137010,1875,219000,1250,619000,1250,529000,625,0,0,0,0,0,0,0,0
016314,169000,2105,503000,2105,159010,1579,524000,1579,179010,1053,510000,1053,529000,526,0,0,0,0,0,0
016322,629000,2353,503000,2353,159010,1765,524000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
016331,169000,2286,503000,2286,159010,1714,201000,1714,179010,1143,529000,571,706000,286,0,0,0,0,0,0
016349,169000,2105,503000,2105,159000,1579,618000,1579,620000,1053,341000,1053,529000,526,0,0,0,0,0,0
016357,519000,2105,615000,2105,401000,1579,201000,1579,179010,1053,510000,1053,529000,526,0,0,0,0,0,0
016365,594000,2353,632000,2353,159000,1765,506000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
016373,169000,2105,291000,2105,159010,1579,524000,1579,730000,1053,580000,1053,529000,526,0,0,0,0,0,0
016381,169000,2353,503000,2353,401000,1765,203000,1765,179010,1176,529000,588,0,0,0,0,0,0,0,0
016390,169000,2105,615000,2105,159000,1579,172010,1579,619000,1053,179010,1053,529000,526,0,0,0,0,0,0
016411,174010,2353,503000,2353,137010,1765,172010,1765,581000,1176,529000,588,0,0,0,0,0,0,0,0
016420,174010,2105,632000,2105,637000,1579,188000,1579,179010,1053,510000,1053,529000,526,0,0,0,0,0,0
016438,169000,2105,503000,2105,401000,1579,203000,1579,164010,1053,766000,1053,529000,526,0,0,0,0,0,0
016446,169000,2105,503000,2105,159000,1579,201000,1579,733000,1053,508000,1053,529000,526,0,0,0,0,0,0
016454,174010,2105,503000,2105,152000,1579,618000,1579,305000,1053,125010,1053,529000,526,0,0,0,0,0,0
016462,169000,2353,189000,2353,401000,1765,201000,1765,733000,1176,529000,588,0,0,0,0,0,0,0,0
016471,594000,2353,503000,2353,159000,1765,618000,1765,305000,1176,529000,588,0,0,0,0,0,0,0,0
016489,169000,2286,503000,2286,152000,1714,560000,1714,179010,1143,529000,571,706000,286,0,0,0,0,0,0
016497,174010,2105,189000,2105,137010,1579,188000,1579,305000,1053,219000,1053,529000,526,0,0,0,0,0,0
016616,174010,2353,503000,2353,137010,1765,172010,1765,640000,1176,285000,588,0,0,0,0,0,0,0,0
016624,174010,2105,503000,2105,637000,1579,560000,1579,341000,1053,619000,1053,529000,526,0,0,0,0,0,0
016632,174010,2105,291000,2105,137010,1579,560000,1579,341000,1053,581000,1053,529000,526,0,0,0,0,0,0
016641,169000,2105,632000,2105,159000,1579,172010,1579,581000,1053,219000,1053,529000,526,0,0,0,0,0,0
016659,118000,2353,503000,2353,159010,1765,401000,1765,219000,1176,529000,588,0,0,0,0,0,0,0,0
