id,level,before_monster_id,after_monster_id
1,15,174000,283000
2,16,103000,104000
3,17,101000,102000
4,18,184000,185000
5,20,592000,605000
6,20,120000,248000
7,21,169000,170000
8,22,232000,239000
9,22,199010,200010
10,22,199000,200000
11,23,149000,150000
12,23,106000,107000
13,24,197000,198000
14,24,187000,308000
15,25,189000,190000
16,25,505000,514000
17,25,125000,126000
18,26,127000,273000
19,27,215000,216000
20,28,542000,552000
21,28,521000,532000
22,28,211000,212000
23,28,538000,547000
24,29,537000,551000
25,29,316000,326000
26,30,303000,311000
27,30,558000,567000
28,30,613000,625000
29,31,157000,158000
30,31,205000,288000
31,32,244000,249000
32,32,281000,287000
33,33,293000,259000
34,33,245000,251000
35,34,234000,241000
36,34,320000,324000
37,34,257000,264000
38,35,504000,516000
39,35,231000,240000
