type,level,exp
1,1,0
1,2,6
1,3,21
1,4,51
1,5,100
1,6,172
1,7,274
1,8,409
1,9,583
1,10,800
1,11,1064
1,12,1382
1,13,1757
1,14,2195
1,15,2700
1,16,3276
1,17,3930
1,18,4665
1,19,5487
1,20,6400
1,21,7408
1,22,8518
1,23,9733
1,24,11059
1,25,12500
1,26,14060
1,27,15746
1,28,17561
1,29,19511
1,30,21600
1,31,23832
1,32,26214
1,33,28749
1,34,31443
1,35,34300
1,36,37324
1,37,40522
1,38,43897
1,39,47455
1,40,51200
1,41,55136
1,42,59270
1,43,63605
1,44,68147
1,45,72900
1,46,77868
1,47,83058
1,48,88473
1,49,94119
1,50,100000
1,51,106120
1,52,112486
1,53,119101
1,54,125971
1,55,133100
1,56,140492
1,57,148154
1,58,156089
1,59,164303
1,60,172800
1,61,181584
1,62,190662
1,63,200037
1,64,209715
1,65,219700
1,66,229996
1,67,240610
1,68,251545
1,69,262807
1,70,274400
1,71,286328
1,72,298598
1,73,311213
1,74,324179
1,75,337500
1,76,351180
1,77,365226
1,78,379641
1,79,394431
1,80,409600
1,81,425152
1,82,441094
1,83,457429
1,84,474163
1,85,491300
1,86,508844
1,87,526802
1,88,545177
1,89,563975
1,90,583200
1,91,602856
1,92,622950
1,93,643485
1,94,664467
1,95,685900
1,96,707788
1,97,730138
1,98,752953
1,99,776239
2,1,0
2,2,6
2,3,23
2,4,55
2,5,108
2,6,187
2,7,298
2,8,445
2,9,634
2,10,870
2,11,1157
2,12,1503
2,13,1911
2,14,2387
2,15,2936
2,16,3563
2,17,4274
2,18,5073
2,19,5967
2,20,6960
2,21,8057
2,22,9263
2,23,10585
2,24,12026
2,25,13593
2,26,15291
2,27,17124
2,28,19098
2,29,21218
2,30,23490
2,31,25918
2,32,28508
2,33,31265
2,34,34194
2,35,37301
2,36,40590
2,37,44068
2,38,47738
2,39,51607
2,40,55680
2,41,59961
2,42,64456
2,43,69171
2,44,74110
2,45,79278
2,46,84682
2,47,90326
