id,name,field_scale_npc,field_scale_member,battle_scale_member,battle_scale_enemy,call_effect_scale,collection_offset_y,mission_scale
1,ウィスパー,1,1.1,0.85,1.8,0.9,-2.5,1
2,ウィスベェ,1,1.1,0.85,1.8,0.9,-2.5,1
3,ぶようじん坊,1,1.1,1.2,2,1,0,1
4,だましんぼう,1,1.1,1.2,2,1,0,1.1
5,がらあきん坊,1,1.15,0.9,2,1,0,1.05
6,さきがけの助,1,1.15,0.9,2,1,0,1.05
7,つづかな僧,1,1.15,0.99,2,1,1,1.15
8,やめたい師,1,1.1,0.81,1.7,0.7,1,0.95
9,もうせん和尚,1,1.1,0.81,1.7,0.7,1,0.95
10,ちからモチ,1,0.8,0.6,1.4,0.55,0,0.65
11,やきモチ,1,0.8,0.6,1.4,0.55,0,0.65
12,くされモチ,1,0.8,0.6,1.4,0.55,0,0.8
13,ダラケ刀,1,0.9,0.72,1.8,0.87,0,0.9
14,ザンバラ刀,1,0.9,0.7,1.8,0.58,0,0.85
15,ダララだんびら,1,0.9,0.7,1.8,0.58,0,0.85
16,しょうブシ,1,0.8,0.6,1.45,0.6,0,0.75
17,いかサマ士,1,0.8,0.6,1.45,0.6,0,0.8
18,まさむね,1,0.8,0.6,1.5,0.6,0,0.8
19,くさなぎ,1,0.8,0.6,1.5,0.6,0,0.8
20,なまくら,1,0.8,0.6,1.5,0.6,0,0.8
21,むらまさ,1,0.75,0.5,1.4,0.5,0,0.65
22,カブトさん,1,1,0.9,1.5,0.85,0,1
23,ゲンマ将軍,1,0.85,0.54,1.45,0.6,0,0.75
24,黄泉ゲンスイ,1,0.85,0.54,1.45,0.6,0,0.75
25,とんま将軍,1,0.85,0.54,1.5,0.6,0,0.85
26,メラメライオン,1,0.9,0.81,1.9,0.85,0,0.9
27,グラグライオン,1,0.9,0.81,1.9,0.85,0,0.9
28,とどろき獅子,1,0.9,0.81,1.9,0.85,0,0.9
29,うすっぺライオン,1,0.9,0.81,1.9,0.85,0,0.9
30,クワノ武士,1,0.95,0.75,1.6,0.65,0,0.9
31,クロノブシ,1,0.95,0.75,1.6,0.65,0,0.95
32,クワガ大将,1,0.85,0.6,1.5,0.65,0,0.8
33,オオクワノ神,1,0.85,0.6,1.5,0.65,0,0.8
34,ベンケイ,1,0.8,0.54,1.4,0.53,0,0.75
35,からくりベンケイ,1,0.8,0.54,1.4,0.53,0,0.75
36,くしゃ武者,1,1,0.8,1.6,0.65,0,0.95
37,なまはげ,1,1,0.8,1.6,0.65,0,0.95
38,無茶むしゃ,1,1,0.8,1.6,0.65,0,1
39,ズルズルづる,1,1,0.9,2,0.9,0,1
40,かぜカモ,1,1,0.9,2,0.9,0,1
41,さとりちゃん,1,0.8,0.72,1.5,0.55,0,0.8
42,よつめ,1,0.8,0.72,1.5,0.55,0,0.8
43,もぐりちゃん,1,0.8,0.72,1.5,0.55,0,0.8
44,わすれん帽,1,1.3,1.17,2.7,1,1,1.3
45,ばか頭巾,1,1.3,1.17,2.7,1,1,1.3
46,こそどろ帽,1,1.3,1.17,2.7,1,1,1.3
47,わらえ姉,1,1.1,0.9,2,0.9,0,1
48,青くちびる,1,1.1,0.9,2,0.9,0,1
49,やまと,1,1.25,0.9,2.2,0.85,0,1.1
50,カブキ猿,1,1.25,0.9,2.2,0.85,0,1.1
51,じゃまと,1,1.25,0.9,2.2,0.85,0,1.25
52,モテモ天,1,0.9,0.765,1.7,0.8,-0.5,0.8
53,パチモ天,1,0.9,0.765,1.7,0.8,-0.5,0.9
54,モテマクール,1,0.85,0.585,1.6,0.67,-1.5,0.7
55,モテヌス,1,0.85,0.585,1.6,0.67,-1.5,0.7
56,バクロ婆,1,1,1.08,2.3,0.85,0,1
57,ドクロ婆,1,1,1.08,2.3,0.85,0,1
58,パクロ婆,1,1,1.08,2.3,0.85,0,1
59,ババァーン,1,1,0.85,2,0.7,0,0.85
60,バク,1,1,0.81,1.8,0.7,0.6,1
61,ハク,1,1,0.81,1.8,0.7,0.6,1
62,でんぱく小僧,1,1,0.99,2.2,1.1,0,1
63,でんじん,1,1,0.72,1.7,0.75,0,0.85
64,はつでんしん,1,1,0.72,1.7,0.75,0,0.85
65,うんがい鏡,1,1,0.7,1.4,0.5,0,0.8
66,ヤミ鏡,1,1,0.7,1.4,0.5,0,0.8
67,まぼ老師,1.2,1.2,1.16,2.4,1.1,0,1.2
68,かげ老師,1.2,1.2,1.16,2.4,1.1,0,1.2
69,ほう老師,1.2,1.2,1.16,2.4,1.1,0,1.2
70,ペテン老師,1.2,1.2,1.16,2.4,1.1,0,1.2
71,ゆきおんな,1,1,0.9,1.9,0.9,0,0.85
72,がきおんな,1,1,0.9,1.9,0.9,0,1
73,ふぶき姫,1,1,0.67,1.9,0.8,-1.5,0.85
74,百鬼姫,1,1,0.67,1.9,0.8,-1.5,0.85
75,キュウビ,1,0.65,0.4,1.17,0.4,-0.5,0.55
76,犬神,1,0.65,0.4,1.17,0.4,-0.5,0.55
77,ヤミキュウビ,1,0.65,0.45,1.17,0.4,-0.5,0.55
78,だるだるま,1,1,0.63,1.6,0.7,0,0.7
79,だるまっちょ,1,1,0.67,1.6,0.7,0,0.9
80,ゴリだるま,1,1,0.67,1.6,0.7,0,0.9
81,イガイガグリ,1,1,0.99,2,1,-0.5,1
82,チクチクウニ,1,1,0.99,2,1,-0.5,1
83,しゃれこ婦人,1,1,0.7,1.7,0.8,-0.8,0.8
84,どろこ婦人,1,1,0.7,1.7,0.8,-0.8,1
85,カラカラさん,1,1,0.7,1.8,0.7,0,0.8
86,ほね美人,1,1,0.7,1.8,0.7,0,0.8
87,ムリカベ,0.8,0.8,0.63,1.4,0.52,0,0.75
88,むりだ城,0.85,0.8,0.5,1.25,0.48,0,0.8
89,シロカベ,0.85,0.8,0.5,1.25,0.48,0,0.8
90,トオセンボン,1,1,0.72,1.5,0.58,0.5,1
91,くろがねセンボン,1,1,0.72,1.5,0.58,0.5,1
92,ヨロイさん,1,1,0.72,1.7,0.8,0,1
93,ふじのやま,1,1,0.72,1.5,0.58,0,0.75
94,さくらのじま,1,1,0.72,1.5,0.58,0,0.75
95,武者かぶと,1,1,0.72,1.7,0.7,0,1
96,クロカブト,1,1,0.72,1.7,0.7,0,1
97,かぶと無双,1,1,0.7,1.5,0.6,0,0.85
98,オオツノノ神,1,1,0.7,1.5,0.6,0,0.85
99,キンカク,1.5,1.5,1,2.1,0.9,0,1.2
100,ドウカク,1.5,1.5,1,2.1,0.9,0,1.2
101,ギンカク,1.5,1.5,1,2.1,0.9,0,1.2
102,プラチナカク,1.5,1.5,1,2.1,0.9,0,1.2
103,シッカク,1.5,1.5,1,2.1,0.9,0,1.5
104,だいだらぼっち,1,0.8,0.45,1.2,0.45,0,0.7
105,うみぼうず,1,0.8,0.52,1.2,0.45,0,0.7
106,セミまる,1.1,1.1,1.17,2.3,1.2,0,1.1
107,デマまる,1.1,1.1,1.17,2.3,1.2,0,1.1
108,カゲまる,1.1,1.1,1.17,2.3,1.3,0,1.1
109,ヒグラシまる,1.1,1.1,1.17,2.3,1.3,0,1.1
110,トホホギス,1,1,0.99,2,0.9,0,1
111,ブカッコウ,1,1,0.99,2,0.9,0,1
112,死神鳥,1,1,0.99,2,0.9,0,1
113,ワルスギス,1,1,0.99,2,0.9,0,1
114,ジバニャン,1,1,1.08,2.2,1.2,0,1
115,黒ニャン,1,1.2,1.08,2.2,1.2,0,1.2
116,ジバニャン[Ｓ/エス],1,1,1.08,2.2,1.2,0,1
117,トゲニャン,1,1,1.08,2.2,1.2,0,1
118,ワルニャン,1,1,1.08,2.4,1.2,0,1
119,ロボニャン,1,1,1.08,2.6,1.3,0,1
120,ゴルニャン,1,1,1.08,2.6,1.3,0,1
121,ダイヤニャン,1,1,1.08,2.2,1.2,0,1
122,サファイニャン,1,1,1.08,2.2,1.2,0,1
123,エメラルニャン,1,1,1.08,2.2,1.2,0,1
