id,name,reward_deal_id,rarity
28638,ジバニャン/ジバニャン,6002,2
28639,コマさん/コマさん,6002,2
28640,バンチョー/亡霊番長,6001,1
28641,ジュニア/？,6002,2
28642,ジュニア/バーニングドラゴン,6003,3
28648,チャーリー/ゴーストサイクル,6001,1
28650,ジンタ/ジンゲキ,6001,1
28652,ラッキー/ドッグマン,6001,1
28654,ホンマグロ大将/マグロドン,6001,1
28655,マッシュバーバー/切裂きジョーカー,6001,1
28662,ふぶき姫/ふぶき姫,6002,2
28666,キュウビ/キュウビ,6002,2
28669,ハイパーミッチー/ミツマタギドラ,6003,3
28707,河童/？,6003,3
28896,キュウビ（レア）/キュウビ,6003,3
28671,剛猛のコマさん/剛猛のコマさん,6003,3
28706,猫又/？,6003,3
28938,フドウ雷鳴剣Ver天/?,6005,5
28939,スザク蒼天斬/？,6005,5
28672,孤仙キュウビ/孤仙キュウビ,6003,3
28651,パックン/ガブリエル,6001,1
28653,ロボニャン00/ロボニャン00,6001,1
28657,洞潔/洞潔,6002,2
28658,酒呑童子/酒呑童子,6004,4
28659,蛇王カイラ/蛇王カイラ,6004,4
28660,ミッチー/ミツマタノヅチ,6002,2
28661,ひも爺/ひも爺,6001,1
28664,青龍/青龍,6002,2
28665,メラメライオン/メラメライオン,6002,2
28667,オロチ/オロチ,6002,2
28682,イナリ/たたりギツネ,6001,1
28684,セミコロン/セミロング,6001,1
28686,オグトグモグ/オグトグモグ,6003,3
28709,スーさん/？,6003,3
28898,オロチ（レア）/オロチ,6003,3
