id,body,unlock_beginning
1,男の子A,1
2,男の子B,1
3,女の子A,1
4,女の子B,1
5,男学生A,1
6,男学生B,1
7,女学生A,1
8,女学生B,1
9,若い男性A,1
10,若い男性B,1
11,若い女性A,1
12,若い女性B,1
13,男性A,1
14,男性B,1
15,女性A,1
16,女性B,1
17,ケータ,0
18,フミ,0
19,イナホ,0
20,クマ,0
21,カンチ,0
22,ケータの父,0
23,ケータの母,0
24,フミの父,0
25,フミの母,0
26,イナホの父,0
27,イナホの母,0
28,イナホの弟,0
29,クマの父,0
30,クマの母,0
31,カンチの父,0
32,カンチの母,0
33,ケータの祖父,0
34,ケータの祖母,0
35,フミの祖父,0
36,フミの祖母,0
37,エミ私服,0
38,エミちゃんの母,0
39,マオくん,0
40,加藤孝一,0
41,ダニエル,0
42,マモル,0
43,テッペイ,0
44,ハルヒコ,0
45,タク,0
46,ケンジ,0
47,ヒデポン,0
48,前田さん,0
49,酒井さん,0
50,チーちゃん,0
51,サトちゃん,0
52,しおりちゃん,0
53,アイたん,0
54,ミカちゃん,0
55,ノリちゃん,0
56,マイちゃん,0
57,メグちゃん,0
58,ユウカちゃん,0
59,キララちゃん,0
60,じゅんちゃん,0
61,まーちゃん,0
62,タカハシくん,0
63,フジワラくん,0
64,ようこちゃん,0
65,ヲタケン,0
66,あーちゃん,0
67,たくっち,0
68,オニギリ,0
69,カナっち,0
70,ラージくん,0
71,こよみちゃん,0
72,アンナちゃん,0
73,ちなみん,0
74,こころくん,0
75,みなみちゃん,0
76,シュンくん,0
77,ハヤトくん,0
78,あきらちゃん,0
79,トオルくん,0
80,ショウゴくん,0
81,ケータの担任,0
82,理科の先生,0
83,衛門和夫,0
84,用務員さん,0
85,ケイゾウ,0
86,フミアキ,0
87,時計屋の店主,0
88,コンビニ店員,0
89,北風らーめん店主,0
90,パン屋さん,0
91,駄菓子屋さん,0
92,ママさん,0
93,店員のお姉さん,0
94,店長,0
95,お姉さん,0
96,さすらい荘の大家,0
97,元祖店主,0
98,本家店主,0
99,一徳寺和尚,0
100,正天寺和尚,0
101,駅員,0
102,看護婦,0
103,蔵岩社長,0
104,蔵岩社長の奥さん,0
105,大門教授,0
106,番台のお姉さん,0
107,冥心漢方店主,0
108,駐在,0
109,警察官,0
110,天ぷら屋の店員(日本),0
111,日本すき焼き屋店主,0
112,御用田さん,0
113,鳥飼さん,0
114,公式おじさん,0
115,公式レディ,0
116,ＳＳＣよっぴー,0
117,メイドさん1,0
118,メイドさん2,0
119,メイドさん3,0
120,にゃんしお,0
121,ふーにゃん,0
122,フササ,0
123,ゆっきーにゃ,0
124,れーにゃ,0
125,セラピアハート,0
126,セラピアセレーネ,0
127,セラピアソレイユ,0
128,マルダー,0
129,カクリー,0
130,ヒューリー博士,0
131,フランシ―博士,0
132,ボブじいさん,0
133,さまようピエロ,0
134,USA寿司屋店員,0
135,トビー,0
136,ＵＳＡすき焼き屋店主,0
137,USA警察官01,0
138,USA警察官02,0
139,キャロル,0
140,圭之助,0
141,おフミ,0
142,おトキ,0
143,エンマ（人間）,0
