id,type,title,schedule_id,icon_id
1,1,依頼クエスト,1,0
2,2,デイリークエスト,1,0
3,3,リピートクエスト,1,0
4,4,通常クエスト（差分）,1,0
5,5,通常クエスト（累積）,1,0
6,3,リピートクエスト1,1,0
7,3,リピートクエスト2,1,0
8,3,リピートクエスト3,1,0
9,3,リピートクエスト4,1,0
10,3,リピートクエスト5,1,0
11,6,ファミマコラボクエスト,10001,1
12,6,イベントクエスト_妖怪ステーション（ジバニャン）,10003,1
13,6,イベントクエスト_妖怪ステーション（コマさん）,10004,1
14,6,イベントクエスト_妖怪ステーション（コマじろう）,10005,1
15,6,イベントクエスト_妖怪ステーション（グレるりん）,10006,1
16,6,イベントクエスト_妖怪ステーション（じんめん犬）,10007,1
17,6,イベントクエスト_妖怪ステーション（メラメライオン）,10008,1
18,6,イベントクエスト_妖怪ステーション（ドンヨリーヌ）,10009,1
19,6,イベントクエスト_妖怪ステーション（ホノボーノ）,10010,1
20,6,ドコモコラボクエスト1,10011,1
21,6,ドコモコラボクエスト2,10012,1
22,6,ウィスパーチャレンジクエスト,10026,1
23,6,突発クエスト01,10027,1
24,6,突発クエスト02,10028,1
25,6,突発クエスト03,10029,1
26,6,突発クエスト04,10030,1
27,6,突発クエスト05,10031,1
28,6,クエストアイコンテスト,19999,1
29,6,かぐやUSAピョンチャレンジ！1,10040,1
30,6,かぐやUSAピョンチャレンジ！2,10041,1
31,6,かぐやUSAピョンチャレンジ！3,10042,1
32,6,かぐやUSAピョンチャレンジ！4,10043,1
