id,scratch_id,reward_item_id,rate,special_prize
1,1,80010000,10000,1
2,1,80008000,1666,0
3,1,80005000,1666,0
4,1,80004000,1666,0
5,1,80003000,1666,0
6,1,80002000,1666,0
7,1,80001000,1666,0
8,2,40500801,10000,1
9,2,40400101,1250,0
10,2,40400201,1250,0
11,2,40400301,1250,0
12,2,40400401,1250,0
13,2,40400501,1250,0
14,2,40400601,1250,0
15,2,40400701,1250,0
16,2,40400801,1250,0
17,3,40500801,10000,1
18,3,40400101,1250,0
19,3,40400201,1250,0
20,3,40400301,1250,0
21,3,40400401,1250,0
22,3,40400501,1250,0
23,3,40400601,1250,0
24,3,40400701,1250,0
25,3,40400801,1250,0
