id,category,name,effect_id
st_eff_0001,0,ヌル,-1
st_eff_0002,0,ヌルアクション,-1
st_eff_0010,2,HP技ダメージ,0
st_eff_0011,2,HP妖術ダメージ,1
st_eff_0012,2,HP割合ダメージ,2
st_eff_0013,2,HP反動ダメージ,3
st_eff_0014,2,HPカウンターダメージ,4
st_eff_0015,2,HP現在割合ダメージ,5
st_eff_0016,2,HP固定ダメージ,6
st_eff_0017,2,HPセットダメージ,7
st_eff_0018,2,HPアビリティ特殊ダメージ,8
st_eff_0100,3,HP回復,9
st_eff_0101,3,HP割合回復,10
st_eff_0102,3,HP吸収回復,11
st_eff_0103,3,HP固定回復,12
st_eff_0104,3,HP個数回復,13
st_eff_0105,3,理不尽回復,14
st_eff_0200,4,行動障害（とりつく）,15
st_eff_0201,4,混乱（とりつく）,16
st_eff_0202,4,お金バラマキ（とりつく）,17
st_eff_0203,4,一定ダメージ（とりつく）,18
st_eff_0204,4,移動不可（とりつく）,19
st_eff_0304,5,一定回復（とりつく）,20
st_eff_0400,6,ちからダウン（とりつく）,21
st_eff_0401,6,ようじゅつダウン（とりつく）,22
st_eff_0402,6,まもりダウン（とりつく）,23
st_eff_0403,6,すばやさダウン（とりつく）,24
st_eff_0404,6,全パラメータダウン（とりつく）,25
st_eff_0500,7,ちからアップ（とりつく）,26
st_eff_0501,7,ようじゅつアップ（とりつく）,27
st_eff_0502,7,まもりアップ（とりつく）,28
st_eff_0503,7,すばやさアップ（とりつく）,29
st_eff_0504,7,全パラメータアップ（とりつく）,30
st_eff_0600,8,挑発（とりつく）,31
st_eff_0601,8,逆挑発（とりつく）,32
st_eff_0650,4,ランダム悪とりつく（とりつく）,33
st_eff_0700,9,蘇生,34
st_eff_0701,9,全良状態異常回復,35
st_eff_0702,9,良状態異常解除,36
st_eff_0703,9,汎用状態異常回復,37
st_eff_0750,13,おはらい,38
st_eff_0751,13,良とりつく解除,39
st_eff_0752,13,全良とりつく解除,40
st_eff_0800,10,ちからダウン,41
st_eff_0801,10,ようじゅつダウン,42
st_eff_0802,10,まもりダウン,43
st_eff_0803,10,すばやさダウン,44
st_eff_0804,10,全パラメータダウン,45
st_eff_0900,11,ちからアップ,46
st_eff_0901,11,ようじゅつアップ,47
st_eff_0902,11,まもりアップ,48
st_eff_0903,11,すばやさアップ,49
st_eff_0904,11,全パラメータアップ,50
st_eff_0950,10,汎用状態異常付与,51
